	Gene.symbol	baseMean	logFC	lfcSE	stat	pvalue	adj.P.Val	abundance.1	abundance.2
1	Streptococcus mitis	2029.97391329353	1.5751034647376	0.617434335125705	2.55104611961193	0.0107400112591207	0.114321453180418	0.00592463244736842	0.00179571878571429
2	Streptococcus oralis	1538.12587156954	-0.577145522795629	0.576055649177783	-1.00189195890953	0.316395776662468	0.618586028658458	0.00386059294736842	0.00167426207142857
3	Streptococcus anginosus	1810.46733846285	-1.09821268902685	0.458401362274289	-2.39574481973228	0.0165866332886774	0.141484276264447	0.00921965957894737	0.00133028625
4	Streptococcus intermedius	1776.04964156289	-2.44011544503545	0.520254386420493	-4.69023521709097	2.72891159284478e-06	0.000340995300775474	0.0106219435	0.000661086821428571
5	Streptococcus constellatus	1038.22702903505	-2.35698143252825	0.698426763165065	-3.37470090900742	0.000738959546724472	0.0208378958094401	0.00102222023684211	0.000144916092857143
6	Streptococcus pneumoniae	1852.11129240957	-1.23738415659038	0.643164276956486	-1.92390062838347	0.0543670404687166	0.267453560849849	0.00169084871052632	0.00067174925
7	Streptococcus sp. ChDC B345	659.230717429885	-0.178348487234416	0.72490411149972	-0.246030453414645	0.80565865848705	0.925634037368547	0.000550586552631579	0.000415549575
8	Streptococcus sp. oral taxon 431	1098.10540176767	2.6464234358726	0.610900967824322	4.33200072558019	1.47760454818035e-05	0.00141554515715677	0.000458424526315789	0.00279113175
9	Streptococcus milleri	1824.71141069273	-1.40948781061914	0.60279832746622	-2.33824107731641	0.0193747457202803	0.152556216986536	0.00497622742105263	0.000575905785714286
10	Streptococcus pseudopneumoniae	211.965173601848	0.383328160181429	0.65594134109057	0.58439396355794	0.558955287081723	0.80574587787366	0.000494211078947368	0.000146312735714286
11	Streptococcus sp. NPS 308	356.793496785048	-0.206092110049087	0.669247716419436	-0.307945929426113	0.758123476214537	0.908125726869022	0.000417955078947368	0.000247484778571429
12	Streptococcus pyogenes	2427.12205586259	-0.399746860284117	0.409444129957955	-0.976316012456122	0.328907887310249	0.630607917364679	0.00526141447368421	0.00139764389285714
13	Streptococcus gordonii	535.780400273241	-1.62647218481111	0.590918512003642	-2.75244750633414	0.00591516287605239	0.0826099745014638	0.0005134975	0.000559739767857143
14	Streptococcus sp. oral taxon 064	66.187793181095	-0.936847605589871	0.572186470835078	-1.63731170403695	0.101565356636244	0.368094369448379	0.000364026810526316	0.000140541753571429
15	Streptococcus sp. KCOM 2412	199.153986608779	-1.29542487241738	0.549123949205781	-2.35907553165548	0.0183205264284639	0.148737833207359	0.000648057315789474	9.21090607142857e-05
16	Streptococcus sp. A12	136.690043509347	1.32952277202297	0.661228743288754	2.01068508517993	0.0443587304071069	0.240000940162276	6.67901578947368e-05	0.0002071971
17	Streptococcus sp. HSISM1	141.823497691942	0.359039192691842	0.516689608280806	0.694883711492634	0.487128181307405	0.767973352504311	0.000355912131578947	0.00132098066785714
18	Streptococcus equinus	27.6264776087409	-0.268571256590633	0.558849004058592	-0.480579288215883	0.630815538709647	0.846388355859723	2.90635e-05	5.24251107142857e-05
19	Streptococcus parasanguinis	347.220678235065	-1.11602000443595	0.568994144721155	-1.9613910174469	0.0498334270361732	0.256209784082222	0.000387938184210526	0.00163074115357143
20	Streptococcus sp. HSISS2	55.2975911767076	-0.535378145777585	0.769456789861317	-0.695787148585794	0.486562138655808	0.767973352504311	4.18074605263158e-05	3.13608357142857e-05
21	Streptococcus australis	173.891762714568	0.986727884525474	0.698846326959264	1.41193828522904	0.157968133574406	0.451747207260406	5.74323e-05	0.000153907335714286
22	Streptococcus suis	258.198458829086	-1.35840530599162	0.549307338295894	-2.47294221520101	0.0134005808599699	0.128806921041985	0.000153889763157895	0.000146446857142857
23	Streptococcus sanguinis	565.925456415723	-0.465437971678974	0.646636143404554	-0.719783415180649	0.471658357774784	0.760261424702597	0.000480681868421053	0.000402104882142857
24	Streptococcus cristatus	471.995571179822	-0.0941803765746793	0.646141655593749	-0.145758094621118	0.884112358160333	0.957056597953005	0.000312321289473684	0.000541083982142857
25	Streptococcus mutans	109.705050646799	-2.08578682927717	0.522539258091519	-3.99163660333413	6.56188722648351e-05	0.00394748248900352	0.000108567815789474	0.000373470317857143
26	Streptococcus sp. Z15	27.0804807937157	-1.84904424376964	0.635152494157409	-2.91118158360155	0.00360064696275091	0.0594727550054375	1.71245815789474e-05	1.45267678571429e-05
27	Streptococcus viridans	45.2172658290513	1.08073505697917	0.638779285121736	1.6918755541254	0.0906697039271351	0.353095838870713	3.72763815789474e-05	0.000186651085714286
