taxonomy	UCS_0001_BAL	UCS_0002_BAL	UCS_0002_UA	UCS_0004_BAL	UCS_0005_BAL	UCS_0006_BAL	UCS_0007_BAL	UCS_0007_UA	UCS_0009_BAL	UCS_0009_UA	UCS_0010_BAL	UCS_0010_UA	UCS_0013_BAL	UCS_0013_UA	UCS_0014_BAL	UCS_0014_UA	UCS_0015_BAL	UCS_0015_UA	UCS_0016_BAL	UCS_0016_UA	UCS_0017_BAL	UCS_0018_BAL	UCS_0018_UA	UCS_0019_BAL	UCS_0020_BAL	UCS_0021_BAL	UCS_0021_UA	UCS_0022_BAL	UCS_0022_UA	UCS_0023_BAL	UCS_0023_UA	UCS_0025_BAL	UCS_0025_UA	UCS_0028_BAL	UCS_0028_UA	UCS_0029_BAL	UCS_0030_BAL	UCS_0030_UA	UCS_0031_BAL	UCS_0032_BAL	UCS_0032_UA	UCS_0033_BAL	UCS_0034_BAL	UCS_0035_BAL	UCS_0036_BAL	UCS_0037_BAL	UCS_0038_BAL	UCS_0038_UA	UCS_0039_BAL	UCS_0039_UA	UCS_0040_BAL	UCS_0040_BKG	UCS_0041_BAL	UCS_0041_UA	UCS_0042_BAL	UCS_0042_UA	UCS_0043_BAL	UCS_0043_UA	UCS_0044_BAL	UCS_0046_BAL	UCS_0046_UA	UCS_0047_BAL	UCS_0048_BAL	UCS_0048_UA	UCS_0049_BAL	UCS_0050_BAL	UCS_0050_UA	UCS_0051_BAL	UCS_0051_UA	UCS_0053_BAL	UCS_0053_UA	UCS_0054_BAL	UCS_0054_UA	UCS_0055_BAL	UCS_0055_UA	UCS_0056_BAL	UCS_0057_BAL	UCS_0057_UA	UCS_0058_BAL	UCS_0058_UA	UCS_0059_BAL	UCS_0060_BAL	UCS_0060_UA	UCS_0061_BAL	UCS_0061_UA	UCS_0062_BAL	UCS_0063_BAL	UCS_0063_UA	UCS_0064_BAL	UCS_0065_BAL	UCS_0066_BAL	UCS_0069_BAL	UCS_0069_BKG	UCS_0070_BAL	UCS_0070_BKG	UCS_0071_BAL	UCS_0072_BAL	UCS_0073_BAL	UCS_0073_UA	UCS_0074_BAL	UCS_0074_UA	UCS_0075_BAL	UCS_0076_BAL	UCS_0077_BAL	UCS_0077_UA	UCS_0079_BAL	UCS_0079_UA	UCS_0080_BAL	UCS_0081_BAL	UCS_0082_BAL	UCS_0083_BAL	UCS_0083_UA	UCS_0085_BAL	UCS_0085_BKG	UCS_0087_BAL	UCS_0088_BAL	UCS_0088_UA	UCS_0090_BAL	UCS_0093_BAL	UCS_0093_UA	UCS_0094_BAL	UCS_0094_UA	UCS_0095_BAL	UCS_0096_BAL	UCS_0096_UA	UCS_0097_BAL	UCS_0097_UA	UCS_0098_BAL	UCS_0099_BAL	UCS_0099_UA	UCS_0100_BAL	UCS_0101_BAL	UCS_0101_UA	UCS_0103_BAL	UCS_0106_BAL	UCS_0106_UA	UCS_0109_BAL	UCS_0114_BAL	UCS_0115_BAL	UCS_0116_BAL	UCS_0118_BAL	UCS_0123_BAL	UCS_0128_BAL	UCS_0130_BAL	UCS_0130_UA	UCS_0134_UA	UCS_0136_BKG	UCS_0138_BAL	UCS_0144_BAL	UCS_0147_BAL	UCS_0148_BAL	UCS_0148_UA	UCS_0151_BAL	UCS_0153_BAL	UCS_0153_UA	UCS_0154_BAL	UCS_0154_UA	UCS_0156_BAL	UCS_0156_UA	UCS_0158_BAL	UCS_0158_UA	UCS_0159_BAL	UCS_0159_UA	UCS_0160_BAL	UCS_0163_BAL	UCS_0164_BAL	UCS_0164_UA	UCS_0167_UA	UCS_0168_BAL	UCS_0172_UA	UCS_0174_BAL	UCS_0174_UA	UCS_0175_BAL	UCS_0175_UA	UCS_0176_BAL	UCS_0177_BAL	UCS_0177_UA	UCS_0180_BAL	UCS_0182_UA	UCS_0185_BAL	UCS_0185_UA	UCS_0190_BAL	UCS_0191_BAL	UCS_0191_UA	UCS_0192_BAL	UCS_0192_UA	UCS_0194_BAL
Aminoglycosides	94.999	64.999	2135.001	13.001	226	35.325	263.657	1301.914	91.46	2376.999	36.998	178.358	1987	1688.999	22	11.999	177.001	85	130.363	6280.785	36	3394.002	18728.346	15.637	26	2	256	14.574	62.278	20.001	0	62	214.299	141	4015.626	22.999	13.001	3.997	2.001	781.003	1289.999	9	20.999	9.001	25.866	2.001	47.999	287.804	2	335.003	149.133	18597.001	126.159	8041.567	23.001	36.001	397	10606	9	15	351	10	440	8287.485	11.001	9	215	6	2289.778	33	9	12.999	288.999	14.999	18	28	31	1810.428	99.999	10026.934	15	151.665	996.592	43	1109.632	1503.071	565.999	1953	4.999	18.998	19	88	1258.875	26	1452.631	3.999	6	11.001	5034.364	11	6181.286	137.001	15.999	926	88751.892	21	7590.048	2	12.001	8.001	84.993	2701.719	70	429.394	4	23.001	107.002	43.903	1912	20657.999	31	17896.701	118.999	2734.58	11376.108	126	6669.174	0	83.206	6538.979	121.262	66.956	462.277	36.832	97.606	1017.782	11158.031	731.383	205.61	14981.613	1773	152	406.13	939.362	7394.483	37403.803	1484.828	2122.991	50.998	53.945	318.089	16.641	37.1	70.316	864	1523.635	4898.701	410.922	101.761	63246	40413.025	17.413	2058.735	209.276	129.84	154	3041.099	2217	132	801.137	29.001	40.001	88.663	1780.999	7.002	318.732	322.999	195	8	41	311	25.997	4	1218.706	15.984	1312	18.002
Fosfomycin	0	1	30	0	8	0	15	20	7	31	75	33	511	1166	2	3	56	39	5	12	8	4398	123	0	4	0	0	1	0	0	0	0	1	0	4	3	1577	21	2	836	995	1	2	5	3	1	1	2	1	3	2	8	0	3	6	0	155	8823	0	5	10	3	4	23	0	0	1	0	4	40	0	3	4	3	2	0	0	11	5	0	4	6	0	205	451	551.999	5	2	7	4	4	0	3	1	9	0	8	22	61	1	15	5	2	304	44976.026	7	20	1	3	2	0	279	22	5	0	1	8	0	7	24	1	44	38	3	115	8	1	0	1	27	30	5	4	0	0	19	99	0	1	4664	13	3	8	39	1	40727.203	0	15287	18	0	1	2	3	25	18	45	34	0	0	19748	22581	3	11	2	14	2	12	3320	96	0	3	0	3	313	2	3	0	32	0	24	61	6	4	3	0	9	5
Multi-drug_resistance	193	125	9102.001	8	1216.001	0	2016.5	5820.001	10	3199	30	60	1072	998	87	78.999	255	101	44	1314	11.001	4002.999	4693.002	7	25	0	165	1	17.002	29	1	607	2081	129	1606	16.001	1525	75	3	321.001	979	4	11	14	5	0	238	756	7	3438	19.999	1244	64	2168	17	140	392.999	7468.999	1	21	4581	8	331	4169	9	3	2	0	5118	124.003	74	11	533	7.001	25	61	3.002	3904.001	124	12414.999	11	8	108	234	652	984.5	165	727	3.999	9	32.001	10	69	1	4.499	2	11	8	2683.5	7	6489	22	6	269	20558.846	52.999	10706	0.5	6	10	25.999	1861	163.001	1	41	89.999	6062	10	798	18700.999	6.002	8973.999	9	4379.002	6079.999	13	21	0	41	5808	38.018	5.002	677	0.999	211.001	794.999	17202	691	244	4291	0	2413	434.001	328.027	2012.775	21705	3	945.002	1	0	1	8	6	31	2630	1227	3678	29	96	28191.588	27395.808	3734	77465.805	727.999	8	28	659	897	11	323	142	282	17	868.507	18.002	673	632	1473	3	28	2270	4	7	806	72	6194	21
Drug_and_biocide_resistance	29	24	884	5	2495.001	8	4047	26146	84.004	2225	57.001	121.001	2066.001	1899.152	316	61	458	324	292	2104	13	1569	2451	30	10.001	0	725	3	27	33	215.999	41	50	445	2585.999	25	18914.001	777.001	2	364	567.001	25	44.001	14	11	0	43	175	10.999	4634.001	20.001	5201	271	7296	20	158	191	6222	51	16	530.001	10	604	14006.001	11	4	5	1	7782	311	181.999	3	303	15	97	87	17	5347	276	25334	9.999	52	368	592	2258.097	1092.003	515	1680	8	9	22.001	8	1547.001	25	6	1	33.999	4	10739.999	7.001	5938	77	15	468	18617.017	134	14930	1	27.001	18	73.221	4845.001	1075	520.999	891	6	255	47	5702	82520.66	9	14125.001	1323	7740	13080.339	86	7692	0.999	172.001	29502.186	102.999	14	349	35.999	440	1335.999	4193.999	356	91	9825.001	105	58	175.999	255.088	1789	18921.014	2263.002	27402.001	56	45	140	123.998	32	222	7822	1921	9874.001	175	78	44706.412	73598.492	33	2518	170	139	30.999	1177	1053	96	444.999	139	94	295.001	979.491	4	758.001	452	707	99	407	3567	10	13	1800	118	6044.999	67.999
Multi-biocide_resistance	0	0	0	0	0	2	2	1	2	2	3	1	4	0	3	0	0	10	5	0	0	1	182	1	0	0	0	6	0	3	38	0	0	4	24	0	1265	53	0	1	0	1	0	0	0	0	13	6	1	1	1	24	0	0	1	0	1	3	1	0	1	1	0	0	0	0	0	0	2	34	12	0	0	0	0	0	0	0	0	2	0	24	186	240	867	11	0	0	0	7	10	2	100.999	0	0	0	0	0	5	0	0	11	0	1	0	0	0	3	9	1	0	194	506	27	151	0	0	5	0	2	0	0	10	0	0	0	0	0	0	1	102	1	0	26	2	1	0	8	0	0	0	3	80	21	0	3	250	13714	93	4	22.999	0	2	12	1	1	0	5	0	0	0	0	2	13	0	0	18	15	1.999	3	0	0	1	7	0	0	0	300	0	0	0	1	0	0	2	0	0
betalactams	260.999	1949.999	121885.001	82.005	37291.001	104.001	28749.998	104669.492	935.004	81944.002	1191	4638	4534.002	7406.002	977.998	670.999	312.002	84.998	1710.003	73092.999	487.998	14137.999	88364	112.998	142.003	24.999	1348.002	56.999	500.001	242.002	436.001	30601.987	35472.002	87	3750.005	298.006	2180.003	360.006	93.996	4254	5025.004	172.001	863.991	206.996	157.01	62.999	687.998	5362.998	385.998	115791.003	1034.999	7847.002	2990.999	101978.875	569.999	9499	804.001	18633.001	237.997	937.001	98619.997	157.006	3253.999	146345.768	394.999	170.997	502.019	49	66720	1320.997	1254.002	453	52621.999	103.998	2068.002	1334.003	435.999	123073.949	5616.999	343663.756	152.995	211.005	103	428.999	6829.904	10746.998	4559.998	15548.999	118.003	174.001	123	276.002	2614.983	731.001	7024.999	54	140.998	96.996	35480.999	104.999	128202.002	552.99	169.992	12700.001	1058464.592	793.001	251442.684	59	200.999	177.005	465.007	9921	440	1254.995	354.999	209.996	1260.002	128.002	27979.999	407545.026	478.998	457460.625	283.001	245471.433	893526.047	3667.004	401237.044	46	3075.001	504147.589	279.629	332.999	14766.998	103.006	352.001	2329.996	587815.31	3172.001	552.997	1566	232.005	3602.001	9076.999	1466.915	72	666203.973	2059.003	396790	1359.998	74.999	761.998	358	57.002	12165	78874.002	27892.998	88292.997	1478.008	844.237	101359.998	69041.703	5514.999	90331.003	567.997	657.034	161.002	31167.999	10272.998	3147.004	1209.998	5706.996	851.999	705.001	8077.999	4843	15366.998	4165.999	6755.979	49.996	8242.998	32557.999	160.003	193.999	37054	1943	164109	536.001
Iron_resistance	1	0	0	0	0	0	0	0	3	0	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	280	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	7	0	0	0	0	0	0	0	0	0	0	24	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	9	0	0
Arsenic_resistance	0	0	1	0	4	0	0	1	0	0	9	0	0	0	0	1	0	0	0	0	0	105.063	41	0	0	0	0	0	0	0	0	0	1	0	0	0	40	0	1	5	21.634	4	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	48	1	0	0	0	1	34	0	0	1	0	1	0	0	0	0	0	0	0	0	9	84	1	1	0	0	0	3	2	0	0	0	0	2	1	8	0	0	2	0	0	0	0	2	0	5	0	0	7	8	0	0	0	0	12	2	0	0	0	0	0	2	0	470.568	0	0	1	22	0	9	0	3	1	0	97	5	0	1	0	0	27	0	1805.445	0	0	16	0	0	1	0	0	0	0	0	0	0	387	209	0	1	3	1	1	0	118.174	0	0	0	0	15	2	0	0	0	4632	0	0	4	2	1	0	0	0	0
Drug_and_biocide_and_metal_resistance	3	0	0	1	1.999	6	25	0	3	2	3	0	1	0	0	1.001	0	0	0	0	0	1	0	0	0	0	2	1	1	0	0	0	0	0	0	0	11	0	0	0	0	1	0	0	1	2	1	0	1	2	1	280	1	0	2	0	0	0	0	0	18	0	3	0	0	0	0	0	7	0	0	0	9	1	0	0	0	0	0	7	0	1	1	81	321	18	8	0	1	0	2	1	0	1	178	0	0	0	8	0	1	12	0	3	1	3	0	0	1	0	0	0	0	26	0	2	0	2	0	3	0	2	1	0	0	0	0	1	0	0	24	0	0	5	2	0	0	2	42	2	0	22	11	0	1.001	0	112	0	13	0	39	3	1	0	0	0	0	0	0	3.999	1	5	1	0	9	0	6	0	4	0	1	0	4	1	0	0	0	60	0	2	0	1	0	0	0	0	0
Biocide_and_metal_resistance	4	0	0	0	8	0	0	0	36	0	3	0	0	0	0	0	0	0	9	0	3	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0.999	1	2	0	0	0	0	0	0	2	0	41	131	33.999	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	9	0	0	0	0	0	0	0	0	5	0	0	20	85	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	91	0	3	9	0	0	4	32.999	0	0	0	9	1	0.999	0	4	0	0	0	24	21	1	0	0	3	0	0	0	0	1	0	0	0	2	0	0	0	4	0	0	3
