"path_3"	"UCS_0001_BAL"	"UCS_0002_BAL"	"UCS_0002_UA"	"UCS_0004_BAL"	"UCS_0005_BAL"	"UCS_0006_BAL"	"UCS_0007_BAL"	"UCS_0007_UA"	"UCS_0009_BAL"	"UCS_0009_UA"	"UCS_0010_BAL"	"UCS_0010_UA"	"UCS_0013_BAL"	"UCS_0013_UA"	"UCS_0014_BAL"	"UCS_0014_UA"	"UCS_0015_BAL"	"UCS_0015_UA"	"UCS_0016_BAL"	"UCS_0016_UA"	"UCS_0017_BAL"	"UCS_0018_BAL"	"UCS_0018_UA"	"UCS_0019_BAL"	"UCS_0020_BAL"	"UCS_0021_BAL"	"UCS_0021_UA"	"UCS_0022_BAL"	"UCS_0022_UA"	"UCS_0023_BAL"	"UCS_0023_UA"	"UCS_0025_BAL"	"UCS_0025_UA"	"UCS_0028_BAL"	"UCS_0028_UA"	"UCS_0029_BAL"	"UCS_0030_BAL"	"UCS_0030_UA"	"UCS_0031_BAL"	"UCS_0032_BAL"	"UCS_0032_UA"	"UCS_0033_BAL"	"UCS_0034_BAL"	"UCS_0035_BAL"	"UCS_0036_BAL"	"UCS_0037_BAL"	"UCS_0038_BAL"	"UCS_0038_UA"	"UCS_0039_BAL"	"UCS_0039_UA"	"UCS_0040_BAL"	"UCS_0040_BKG"	"UCS_0041_BAL"	"UCS_0041_UA"	"UCS_0042_BAL"	"UCS_0042_UA"	"UCS_0043_BAL"	"UCS_0043_UA"	"UCS_0044_BAL"	"UCS_0045_BAL"	"UCS_0046_BAL"	"UCS_0046_UA"	"UCS_0047_BAL"	"UCS_0048_BAL"	"UCS_0048_UA"	"UCS_0049_BAL"	"UCS_0050_BAL"	"UCS_0050_UA"	"UCS_0051_BAL"	"UCS_0051_UA"	"UCS_0052_BAL"	"UCS_0053_BAL"	"UCS_0053_UA"	"UCS_0054_BAL"	"UCS_0054_UA"	"UCS_0055_BAL"	"UCS_0055_UA"	"UCS_0056_BAL"	"UCS_0057_BAL"	"UCS_0057_UA"	"UCS_0058_BAL"	"UCS_0058_UA"	"UCS_0059_BAL"	"UCS_0060_BAL"	"UCS_0060_UA"	"UCS_0061_BAL"	"UCS_0061_UA"	"UCS_0062_BAL"	"UCS_0063_BAL"	"UCS_0063_UA"	"UCS_0064_BAL"	"UCS_0065_BAL"	"UCS_0066_BAL"	"UCS_0069_BAL"	"UCS_0069_BKG"	"UCS_0070_BAL"	"UCS_0070_BKG"	"UCS_0071_BAL"	"UCS_0072_BAL"	"UCS_0073_BAL"	"UCS_0073_UA"	"UCS_0074_BAL"	"UCS_0074_UA"	"UCS_0075_BAL"	"UCS_0076_BAL"	"UCS_0077_BAL"	"UCS_0077_UA"	"UCS_0079_BAL"	"UCS_0079_UA"	"UCS_0080_BAL"	"UCS_0081_BAL"	"UCS_0082_BAL"	"UCS_0083_BAL"	"UCS_0083_UA"	"UCS_0085_BAL"	"UCS_0085_BKG"	"UCS_0087_BAL"	"UCS_0088_BAL"	"UCS_0088_UA"	"UCS_0090_BAL"	"UCS_0093_BAL"	"UCS_0093_UA"	"UCS_0094_BAL"	"UCS_0094_UA"	"UCS_0095_BAL"	"UCS_0096_BAL"	"UCS_0096_UA"	"UCS_0097_BAL"	"UCS_0097_UA"	"UCS_0098_BAL"	"UCS_0099_BAL"	"UCS_0099_UA"	"UCS_0100_BAL"	"UCS_0101_BAL"	"UCS_0101_UA"	"UCS_0103_BAL"	"UCS_0106_BAL"	"UCS_0106_UA"	"UCS_0109_BAL"	"UCS_0114_BAL"	"UCS_0115_BAL"	"UCS_0116_BAL"	"UCS_0118_BAL"	"UCS_0123_BAL"	"UCS_0128_BAL"	"UCS_0130_BAL"	"UCS_0130_UA"	"UCS_0134_UA"	"UCS_0136_BKG"	"UCS_0138_BAL"	"UCS_0144_BAL"	"UCS_0147_BAL"	"UCS_0148_BAL"	"UCS_0148_UA"	"UCS_0151_BAL"	"UCS_0153_BAL"	"UCS_0153_UA"	"UCS_0154_BAL"	"UCS_0154_UA"	"UCS_0156_BAL"	"UCS_0156_UA"	"UCS_0158_BAL"	"UCS_0158_UA"	"UCS_0159_BAL"	"UCS_0159_UA"	"UCS_0160_BAL"	"UCS_0163_BAL"	"UCS_0164_BAL"	"UCS_0164_UA"	"UCS_0167_UA"	"UCS_0168_BAL"	"UCS_0170_BAL"	"UCS_0170_UA"	"UCS_0171_BAL"	"UCS_0172_UA"	"UCS_0174_BAL"	"UCS_0174_UA"	"UCS_0175_BAL"	"UCS_0175_UA"	"UCS_0176_BAL"	"UCS_0177_BAL"	"UCS_0177_UA"	"UCS_0180_BAL"	"UCS_0182_UA"	"UCS_0185_BAL"	"UCS_0185_UA"	"UCS_0190_BAL"	"UCS_0191_BAL"	"UCS_0191_UA"	"UCS_0192_BAL"	"UCS_0192_UA"	"UCS_0194_BAL"
"'processing and CCA adding factors"	325	110	50312	13	2355	1009	2756	42398	197	29236	115	18827	3337	9375	32	3094	628	6617	947	58672	64	1896	51079	22	30	18	11980	57	4990	929	4897	2555	20275	434	21907	76	16819	1843	11	2293	3375	111	181	287	97	22	1218	6133	53	36135	63	17765	236	32930	112	1964	548	13071	121	83	185	23800	80	1315	154316	81	2523	21838	16	74919	96	33064	8116	224	31230	19	17045	86	33	10371	388	146464	25	1053	6034	756	7576	2392	2264	13685	284	11	179	1059	2554	191	31679	6	35	69	51001	18	58282	20930	1573	920	77253	177	144041	25	26	26	69	25929	2367	621	134	1661	17673	22	3524	524428	231	116268	525	15093	140977	344	29061	46	418	191821	93	20	3378	55	27685	253956	180625	5079	465	3719	13043	444	2541	8649	24291	1024259	259	30273	7541	37	1016	27876	54	233	28210	20411	147867	884	4006	352627	233447	1964	45775	198	292	10730	9270	18522	7904	686	30123	1051	21178	179460	2853	9471	51567	1981	40694	24412	27386	9071	621	16423	49	49	10531	94	16065	674
"'processing factors"	45	545	149739	64	2264	7988	2890	119657	89	27536	110	15491	8601	12692	184	4136	3087	3239	633	46978	115	30129	113440	14	45	31	15537	19	891	1262	1684	3074	53477	449	16155	422	5017	818	21	5633	10317	50	349	412	1496	9	767	4366	41	55766	150	4794	1257	60696	164	22513	6549	103333	103	133	110	60138	40	1747	625860	72	544	9901	22	153178	97	17952	4519	673	24821	51	687	367	39	63871	1454	738541	77	318	1731	1696	8755	13309	1653	5543	329	59	101	95	1060	124	3743	26	49	80	56376	71	50396	165	42	2143	1072500	150	141614	14	65	41	135	79808	1846	187	17	594	12743	32	10601	822454	82	149632	97	40464	475496	86	37905	26	443	309499	49	26	5468	27	10498	61134	272333	3353	563	42035	2138	722	4423	3976	13281	8663381	147	78107	98	15	315	33099	13	346	21745	20588	180145	522	2073	6364057	2495366	590	70655	1552	95	36	6074	26133	261	488	14271	27	16300	82756	2206	506	58311	197	16971	19710	771	10170	1229	42439	47	40	8835	299	109037	218
"AAA proteases"	5	42	8	17	45	57	0	0	24	417	6	579	44	52	2	10	22	532	44	2315	2	19	1840	6	0	1	258	16	12	177	877	17	10	11	697	7	375	129	2	445	320	10	0	57	15	2	59	1126	100	958	24	9338	0	4	1	0	15	118	1	4	2	4	4	41	2607	10	28	623	0	167	9	944	521	4	74	7	142	19	0	2	8	204	2	55	117	17	237	795	459	47	3	0	23	10	795	19	3741	2	4	19	5879	13	6	49	144	4	0	0	310	1	10	13	4	48	10	173	0	126	1080	12	9	278	11	136	2	145	7010	8	107	2	1	0	5	19	34	4	1005	8720	514	1162	83	9	134	71	549	193	427	3349	804	955	377	4	2210	1941	232	5	1694	296	6969	186	581	498	1	18	0	15	125	65	196	4126	62	240	1902	0	2141	2058	68	1588	11762	56	185	500	1035	7	8	12	0	14	1122	2	2	2
"AauS-AauR (acidic amino acids utilization)"	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	424	0	0	0	0	0	0	0	0	15	0	17	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	4	507	0	0	0	0	0	0	497	53	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	11	4	6	0	0	0	32	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	24	0	2	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0
"ABC transporters"	10755	14842	2972005	11706	86043	1478837	130557	2855347	3708	1647253	21758	1727476	241374	443328	11878	1105643	47854	436878	67226	4251890	11041	247776	3083057	1061	1764	561	1038370	3660	444736	81851	288287	185762	1088511	37408	1424661	19644	2324921	136025	751	138159	284619	13250	25425	33044	102313	1168	86145	530848	4075	3789741	5246	206680	52827	4426153	13878	1417943	38141	1252762	14332	5988	12733	1804394	5129	162241	17531925	3035	87380	1170294	1596	8679505	6300	1556780	464056	97615	1377503	2202	435874	8506	1714	1412223	25263	12203247	5196	37184	364953	204774	1371036	162429	161105	1490676	58929	2377	18890	183834	109382	15585	1409398	1252	6392	5120	3706899	3886	3983084	519927	39815	49094	10731491	5405	5945924	4517	3926	1454	7587	975081	403834	94420	22705	77517	1460717	1422	190014	28607267	9814	6794415	19268	889871	11949859	17321	2650875	2838	17774	16764934	14191	4886	616235	1407	1105336	8376720	6030797	225430	43757	744528	350727	23998	164267	517170	1725721	146907953	110133	3408961	163717	1123	71076	4226092	25162	33699	1528631	1595506	15250945	108368	354546	54279038	21915180	38460	3523920	34269	29742	738938	804389	1500241	196683	106405	1311511	19735	1532291	8564502	397671	320258	3791116	121693	1160614	1191580	1273044	1172541	64184	1036177	2624	2890	407942	8459	1593572	30744
"ABC-2 type and other transporters"	605	2218	284872	1593	7305	284262	9268	194281	356	116389	1780	158382	18503	40115	284	62429	2900	29029	4473	333023	1003	21928	269661	128	171	46	110206	427	43347	6800	20648	12032	77670	3417	132306	2684	302784	15542	77	8596	21792	853	3334	3042	17403	127	7735	39148	519	199757	644	31069	4287	289844	2359	224974	3211	122774	762	419	1535	139555	405	11051	1336185	252	5967	87997	237	760927	489	124795	28409	17185	108053	151	36723	650	136	113423	2473	1041362	879	3116	34868	35286	193418	17654	14686	155237	10065	346	1936	13219	8459	1128	352618	149	436	383	286901	383	276540	26697	1470	2913	959153	538	683440	464	350	174	477	79183	29198	8986	1005	5145	90043	233	18955	2799271	632	538263	1764	96547	1688408	1599	229799	201	1283	1372674	1380	243	53422	139	75282	532659	556242	11258	4244	27343	21177	1176	17316	32633	79825	11985232	7453	247812	11987	146	12023	549026	4178	2282	98327	141298	1462021	6352	25050	3565668	2980775	3058	428008	5402	3258	47715	33268	109051	7913	8836	136478	1068	133592	603777	39487	16194	279720	11133	73463	79208	64112	132561	6963	89272	182	233	35345	1122	154384	2659
"ABC1 family"	0	0	0	0	0	0	0	0	0	111	0	407	5	69	0	0	0	9	0	521	0	0	0	0	0	0	0	0	0	0	0	31	208	0	26	0	146	54	0	0	0	0	0	1	0	0	0	67	0	7	0	1	0	0	0	0	0	2	0	0	0	0	0	0	758	0	0	17	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	108	13	9	4	0	0	0	0	0	0	782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	845	0	0	0	0	5	0	0	24	124	1763	0	0	0	0	0	0	0	0	35	37	1284	0	15	0	0	0	0	0	2	0	0	74	0	0	93	0	8	290	39	0	1702	0	3	1097	0	0	0	0	0	0	279	0	0	0
"ABCA (ABC1) subfamily"	0	2	1152	2	0	227	0	0	0	8	0	0	0	8	0	0	30	0	0	0	0	0	54	2	0	0	309	0	29	0	0	0	0	0	0	11	117	0	0	0	0	0	4	0	20	0	0	0	0	0	0	0	0	0	34	352	0	0	0	0	2	89	0	0	63	0	7	0	0	0	0	0	0	29	36	0	1	0	0	0	0	3	0	0	0	272	2416	0	2	3	74	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	120	0	0	0	529	0	2	0	0	0	0	0	3	1559	0	2	0	0	43	1132	0	0	0	50	2211	0	3	0	0	0	2001	0	0	0	0	0	0	0	46	0	0	186	30	0	26	0	0	0	0	941	0	9	0	0	0	0	777	34
"ABCB (MDR/TAP) subfamily"	151	120	24604	176	464	23998	1037	18517	170	12092	381	33375	6124	8682	288	3048	643	8016	720	44188	124	1214	25440	16	16	7	17190	15	2750	1521	6132	1961	11589	737	14366	326	74635	4474	7	3549	4676	145	496	1197	1492	5	3706	11808	174	27678	29	8598	931	19589	183	27606	561	10352	112	122	54	9040	29	2417	96780	20	1554	31448	35	53896	85	63856	10725	2375	10215	22	2313	52	17	6379	187	59806	178	557	9227	5619	30047	4327	1418	4135	595	174	535	1516	2014	231	4418	26	85	141	33035	47	33582	1140	99	357	93821	29	44077	131	45	42	66	5617	7450	491	269	1763	31137	62	1841	121341	143	35247	94	5821	71760	88	22323	29	137	61662	163	92	8216	25	43843	465252	69470	21108	1618	4289	3472	71	2809	36017	63666	714612	1031	79608	366	18	286	74882	274	649	17346	39746	232471	5395	10109	451983	143652	382	57760	1289	231	14105	30622	42204	582	12150	29438	9507	22809	600977	4830	8027	85340	2646	16516	19607	3722	19572	853	7843	42	48	8359	103	12429	262
"ABCC (CFTR/MRP) subfamily"	2	40	7878	41	4	11248	4	1	9	618	35	348	197	193	0	180	12	1090	20	435	3	1	1049	2	35	0	1222	0	258	133	145	27	50	13	416	64	3320	142	0	2	28	2	642	28	401	1	0	157	21	119	0	1	0	66	81	7521	15	17	0	4	67	505	2	11	2086	2	5	155	0	25	0	2461	78	743	4496	4	115	17	1	38	0	5	12	130	27	1981	13211	252	104	89	470	0	2	6	1	6	0	0	2	4	80	0	0	10	0	0	3	2	5	7	0	1	3	23	259	232	2	2	889	2	239	44	8	7	2	3	24	3	4	2	4	99	81	0	1640	1	1806	23876	2069	0	51	0	46	4	59	92	81	21839	107	2	133	4	1737	17148	59	2	356	1467	6857	78	153	347	2	2	6006	353	1292	0	0	612	2	6	560	0	111	1033	128	2	3283	233	2	1412	300	6478	73	16	0	2	66	1	1689	16
