taxonomy	UCS_0001_BAL	UCS_0002_BAL	UCS_0002_UA	UCS_0004_BAL	UCS_0005_BAL	UCS_0006_BAL	UCS_0007_BAL	UCS_0007_UA	UCS_0009_BAL	UCS_0009_UA	UCS_0010_BAL	UCS_0010_UA	UCS_0013_BAL	UCS_0013_UA	UCS_0014_BAL	UCS_0014_UA	UCS_0015_BAL	UCS_0015_UA	UCS_0016_BAL	UCS_0016_UA	UCS_0017_BAL	UCS_0018_BAL	UCS_0018_UA	UCS_0019_BAL	UCS_0020_BAL	UCS_0021_BAL	UCS_0021_UA	UCS_0022_BAL	UCS_0022_UA	UCS_0023_BAL	UCS_0023_UA	UCS_0025_BAL	UCS_0025_UA	UCS_0028_BAL	UCS_0028_UA	UCS_0029_BAL	UCS_0030_BAL	UCS_0030_UA	UCS_0031_BAL	UCS_0032_BAL	UCS_0032_UA	UCS_0033_BAL	UCS_0034_BAL	UCS_0035_BAL	UCS_0036_BAL	UCS_0037_BAL	UCS_0038_BAL	UCS_0038_UA	UCS_0039_BAL	UCS_0039_UA	UCS_0040_BAL	UCS_0040_BKG	UCS_0041_BAL	UCS_0041_UA	UCS_0042_BAL	UCS_0042_UA	UCS_0043_BAL	UCS_0043_UA	UCS_0044_BAL	UCS_0045_BAL	UCS_0046_BAL	UCS_0046_UA	UCS_0047_BAL	UCS_0048_BAL	UCS_0048_UA	UCS_0049_BAL	UCS_0050_BAL	UCS_0050_UA	UCS_0051_BAL	UCS_0051_UA	UCS_0052_BAL	UCS_0053_BAL	UCS_0053_UA	UCS_0054_BAL	UCS_0054_UA	UCS_0055_BAL	UCS_0055_UA	UCS_0056_BAL	UCS_0057_BAL	UCS_0057_UA	UCS_0058_BAL	UCS_0058_UA	UCS_0059_BAL	UCS_0060_BAL	UCS_0060_UA	UCS_0061_BAL	UCS_0061_UA	UCS_0062_BAL	UCS_0063_BAL	UCS_0063_UA	UCS_0064_BAL	UCS_0065_BAL	UCS_0066_BAL	UCS_0069_BAL	UCS_0069_BKG	UCS_0070_BAL	UCS_0070_BKG	UCS_0071_BAL	UCS_0072_BAL	UCS_0073_BAL	UCS_0073_UA	UCS_0074_BAL	UCS_0074_UA	UCS_0075_BAL	UCS_0076_BAL	UCS_0077_BAL	UCS_0077_UA	UCS_0079_BAL	UCS_0079_UA	UCS_0080_BAL	UCS_0081_BAL	UCS_0082_BAL	UCS_0083_BAL	UCS_0083_UA	UCS_0085_BAL	UCS_0085_BKG	UCS_0087_BAL	UCS_0088_BAL	UCS_0088_UA	UCS_0090_BAL	UCS_0093_BAL	UCS_0093_UA	UCS_0094_BAL	UCS_0094_UA	UCS_0095_BAL	UCS_0096_BAL	UCS_0096_UA	UCS_0097_BAL	UCS_0097_UA	UCS_0098_BAL	UCS_0099_BAL	UCS_0099_UA	UCS_0100_BAL	UCS_0101_BAL	UCS_0101_UA	UCS_0103_BAL	UCS_0106_BAL	UCS_0106_UA	UCS_0109_BAL	UCS_0114_BAL	UCS_0115_BAL	UCS_0116_BAL	UCS_0118_BAL	UCS_0123_BAL	UCS_0128_BAL	UCS_0130_BAL	UCS_0130_UA	UCS_0134_UA	UCS_0136_BKG	UCS_0138_BAL	UCS_0144_BAL	UCS_0147_BAL	UCS_0148_BAL	UCS_0148_UA	UCS_0151_BAL	UCS_0153_BAL	UCS_0153_UA	UCS_0154_BAL	UCS_0154_UA	UCS_0156_BAL	UCS_0156_UA	UCS_0158_BAL	UCS_0158_UA	UCS_0159_BAL	UCS_0159_UA	UCS_0160_BAL	UCS_0163_BAL	UCS_0164_BAL	UCS_0164_UA	UCS_0167_UA	UCS_0168_BAL	UCS_0170_BAL	UCS_0170_UA	UCS_0171_BAL	UCS_0172_UA	UCS_0174_BAL	UCS_0174_UA	UCS_0175_BAL	UCS_0175_UA	UCS_0176_BAL	UCS_0177_BAL	UCS_0177_UA	UCS_0180_BAL	UCS_0182_UA	UCS_0185_BAL	UCS_0185_UA	UCS_0190_BAL	UCS_0191_BAL	UCS_0191_UA	UCS_0192_BAL	UCS_0192_UA	UCS_0194_BAL
Human alphaherpesvirus 1	4	32	37	265568	37	12	14	42	60	52	28	11	128	18	22	60	93	11	24	9	160282	47	15	38	149	5	4	6	13	2	10	7	6	8	8	320	37	2	23	62	4	56	60	132480	34	2	41	12	11	31	778770	106	25	9	74	10	7995	3085	80938	74	59	9	28	272545	51994	237	11	6	6	40	28	51	5	624	111562	31	37	13	6	19	10	20	463	10106	634	26	31	117	11	8	30	22	19	70	13	17	94	8	208526	36027	10	8	12781	228037	11484	42053	90	169091	52164	4	28	252	21	6	27	13	15	7	11	51	500	41	39	55	62	12	55	12674	1150	10	32	54	63222	39	28	6	4	34	15	13	68	28	7	4	66	2	16	58	10	99	36	10	16	69	11	4	4	64	50	9070	2068	41	46	5	77	295	18	29	48	18	46	28	15	24	3	69	18	32	46	6	34	10	2395	26	6	2	127574	46879	5179	8	6	55
African swine fever virus	2	0	3	1	1	206	1	4	7	13	7	18	26	16	4	3	1	4	1	11	3	1	43	3	1	1	6	1	3	3	3	5	3	0	1	1	16	1	1	0	0	1	4	2	16	1	10	34	1	4	0	6	11	1	2	48	2	0	1	1	1	42	2	2	5	1	3	0	2	5	2	55	1	31	8	0	1	1	1	0	0	8	2	2	0	0	20	32	1	1	2	2	0	0	16	3	14	0	4	0	0	1	0	30	1	0	2	2	3	0	1	1	3	2	0	44	0	7	15	1	3	7	1	3	2	1	1	2	6	2	3	3	1	1	21	0	7	30	5	0	6	2	1	4	2	77	88	10	3	16	4	4	6	65	2	3	2	164	39	4	13	7	5	2	4	2	3	5	6	7	4	2	7	3	3	194	7	7	30	0	187	8	12	27	17	4	1	0	5	0	24	2
Gammapapillomavirus sp.	1	0	0	0	0	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	2	2	2	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	1	0	0	2	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
Betapapillomavirus 3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Tanapox virus	0	1	2	1	3	6	2	1	1	8	0	4	24	6	0	0	0	1	2	11	1	1	9	5	0	0	0	1	1	1	2	7	1	0	1	0	5	0	0	0	0	3	2	1	1	1	6	1	2	4	0	3	1	0	1	1	5	1	2	7	1	10	0	0	6	1	5	0	1	30	4	50	2	1	4	2	0	0	0	2	1	4	1	2	0	1	1	26	3	0	0	2	2	1	5	3	18	0	1	1	5	0	0	16	1	1	2	2	3	0	3	2	1	9	5	4	0	4	4	4	5	10	1	13	1	2	3	2	2	0	1	8	1	0	11	0	3	4	4	1	5	1	2	0	0	13	2	3	6	68	6	1	4	3	2	1	1	77	8	9	2	13	10	1	5	4	2	2	1	1	3	0	7	4	11	72	0	9	22	0	33	7	6	4	12	3	4	0	0	0	3	2
Human gammaherpesvirus 4	0	0	38	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	5	0	0	0	0	0	0	0	0	0	0	1	21	0	0	1	0	0	0	0	1	0	0	0	0	170	2	0	0	0	1	4	42	0	0	0	0	12	46	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	166	16	14	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	20	0	42	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	182	1	0	0	0	0	0	0	1	0	12	18	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	1
Gallid alphaherpesvirus 2	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	15	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	14	7	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	9	1	0	0	0	0	0	0	0	1	0
Monkeypox virus	0	0	1	2	0	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	2	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	1	1	0	2	1	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	1	1	1	10	0	1	0	4	0	30	0	0	0	0	0	0	1	0	0	0	0	0	2	0
Torque teno virus 29	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human alphaherpesvirus 2	0	0	0	85	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	371	1	0	0	0	0	1	3	109	0	0	0	0	66	7	1	1	13	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	10	1	0	0	0	0	0	0	0	0	0	1	0	1	0	529	24	0	58	0	145	2	13	0	96	22	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	17	0	0	0	0	41	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	66	25	0	1	0	0
