taxonomy	UCS_0001_BAL	UCS_0002_BAL	UCS_0002_UA	UCS_0004_BAL	UCS_0005_BAL	UCS_0006_BAL	UCS_0007_BAL	UCS_0007_UA	UCS_0009_BAL	UCS_0009_UA	UCS_0010_BAL	UCS_0010_UA	UCS_0013_BAL	UCS_0013_UA	UCS_0014_BAL	UCS_0014_UA	UCS_0015_BAL	UCS_0015_UA	UCS_0016_BAL	UCS_0016_UA	UCS_0017_BAL	UCS_0018_BAL	UCS_0018_UA	UCS_0019_BAL	UCS_0020_BAL	UCS_0021_BAL	UCS_0021_UA	UCS_0022_BAL	UCS_0022_UA	UCS_0023_BAL	UCS_0023_UA	UCS_0025_BAL	UCS_0025_UA	UCS_0028_BAL	UCS_0028_UA	UCS_0029_BAL	UCS_0030_BAL	UCS_0030_UA	UCS_0031_BAL	UCS_0032_BAL	UCS_0032_UA	UCS_0033_BAL	UCS_0034_BAL	UCS_0035_BAL	UCS_0036_BAL	UCS_0037_BAL	UCS_0038_BAL	UCS_0038_UA	UCS_0039_BAL	UCS_0039_UA	UCS_0040_BAL	UCS_0040_BKG	UCS_0041_BAL	UCS_0041_UA	UCS_0042_BAL	UCS_0042_UA	UCS_0043_BAL	UCS_0043_UA	UCS_0044_BAL	UCS_0045_BAL	UCS_0046_BAL	UCS_0046_UA	UCS_0047_BAL	UCS_0048_BAL	UCS_0048_UA	UCS_0049_BAL	UCS_0050_BAL	UCS_0050_UA	UCS_0051_BAL	UCS_0051_UA	UCS_0052_BAL	UCS_0053_BAL	UCS_0053_UA	UCS_0054_BAL	UCS_0054_UA	UCS_0055_BAL	UCS_0055_UA	UCS_0056_BAL	UCS_0057_BAL	UCS_0057_UA	UCS_0058_BAL	UCS_0058_UA	UCS_0059_BAL	UCS_0060_BAL	UCS_0060_UA	UCS_0061_BAL	UCS_0061_UA	UCS_0062_BAL	UCS_0063_BAL	UCS_0063_UA	UCS_0064_BAL	UCS_0065_BAL	UCS_0066_BAL	UCS_0069_BAL	UCS_0069_BKG	UCS_0070_BAL	UCS_0070_BKG	UCS_0071_BAL	UCS_0072_BAL	UCS_0073_BAL	UCS_0073_UA	UCS_0074_BAL	UCS_0074_UA	UCS_0075_BAL	UCS_0076_BAL	UCS_0077_BAL	UCS_0077_UA	UCS_0079_BAL	UCS_0079_UA	UCS_0080_BAL	UCS_0081_BAL	UCS_0082_BAL	UCS_0083_BAL	UCS_0083_UA	UCS_0085_BAL	UCS_0085_BKG	UCS_0087_BAL	UCS_0088_BAL	UCS_0088_UA	UCS_0090_BAL	UCS_0093_BAL	UCS_0093_UA	UCS_0094_BAL	UCS_0094_UA	UCS_0095_BAL	UCS_0096_BAL	UCS_0096_UA	UCS_0097_BAL	UCS_0097_UA	UCS_0098_BAL	UCS_0099_BAL	UCS_0099_UA	UCS_0100_BAL	UCS_0101_BAL	UCS_0101_UA	UCS_0103_BAL	UCS_0106_BAL	UCS_0106_UA	UCS_0109_BAL	UCS_0114_BAL	UCS_0115_BAL	UCS_0116_BAL	UCS_0118_BAL	UCS_0123_BAL	UCS_0128_BAL	UCS_0130_BAL	UCS_0130_UA	UCS_0134_UA	UCS_0136_BKG	UCS_0138_BAL	UCS_0144_BAL	UCS_0147_BAL	UCS_0148_BAL	UCS_0148_UA	UCS_0151_BAL	UCS_0153_BAL	UCS_0153_UA	UCS_0154_BAL	UCS_0154_UA	UCS_0156_BAL	UCS_0156_UA	UCS_0158_BAL	UCS_0158_UA	UCS_0159_BAL	UCS_0159_UA	UCS_0160_BAL	UCS_0163_BAL	UCS_0164_BAL	UCS_0164_UA	UCS_0167_UA	UCS_0168_BAL	UCS_0170_BAL	UCS_0170_UA	UCS_0171_BAL	UCS_0172_UA	UCS_0174_BAL	UCS_0174_UA	UCS_0175_BAL	UCS_0175_UA	UCS_0176_BAL	UCS_0177_BAL	UCS_0177_UA	UCS_0180_BAL	UCS_0182_UA	UCS_0185_BAL	UCS_0185_UA	UCS_0190_BAL	UCS_0191_BAL	UCS_0191_UA	UCS_0192_BAL	UCS_0192_UA	UCS_0194_BAL
Severe acute respiratory syndrome-related coronavirus	0.002815305	0.007977123	0.000297544	0.000525267	0.516201822	0.000119089	6.90E-05	0.000122761	0.028562066	4.01E-05	0.071743218	0.000380493	0.000811827	0.003105746	0.012464798	0.001349048	0.007821976	7.66E-05	0.002108489	1.52E-05	0.128354341	0.00359018	0.008975563	0.99559757	0.045524663	0.01412975	1.48E-05	0.008416655	0.002839827	0.000455201	0.000191247	0.000183824	0.000543738	0.004786813	2.49E-05	0.031016262	0.001209789	0.000283	0.102288398	0.002089215	8.01E-05	0.01091558	0.005005941	0.005363441	0.007865753	0.029899322	0.004402978	0.000566161	0.00052336	1.90E-05	0.003345794	0.001487128	0.000729063	1.17E-05	0.015677917	3.19E-05	0.000392204	1.58E-05	0.032445053	0.024429328	0.009152654	4.11E-05	0.022861872	0.000816958	7.90E-05	0.002734206	0.000382422	8.51E-05	0.031224679	0.00054373	0.010603792	0.000274769	6.76E-05	0.001315664	0.000133636	0.028779212	0.000537189	0.001228591	0.004748999	0.000301019	0.010919022	0.008457865	0.016182646	0.004410825	2.95E-05	0.000335118	0.00040009	0.001526375	0.000270815	8.05E-05	0.002597508	0.02907024	0.006751462	8.90E-05	0.000229342	0.001476559	0.00028664	0.009670375	0.025940367	0.014111685	1.65E-05	0.004303996	0.00568932	0.002445704	0.005860125	0.000554259	0.000100413	0.025426274	8.47E-05	0.001353137	0.032720555	0.039229341	0.003765906	1.55E-05	0.000943977	0.000156059	0.005301438	0.00021558	6.12E-05	0.024757727	0.001212834	4.51E-05	0.982543592	0.009981246	0.02641087	0.197970363	0.418789418	0.00604488	1.75E-05	0.004330633	0.004101572	0.000100618	0.001787766	0.010330352	0.000221856	0.00334167	0.001139318	0.000150529	0.001243966	0.000145426	0.950668193	0.002091215	0.000226307	0.001606789	0.001518798	2.33E-05	2.01E-05	0.020089509	0.000189079	0.001085317	0.000666893	0.003771987	0.001208365	0.000837595	0.000426415	0.87547241	0.000353951	0.00593419	8.83E-05	0.335289751	7.01E-05	7.30E-05	5.92E-05	0.000696076	0.000557434	0.000415757	0.000466094	0.00023112	0.000205354	3.88E-05	0.00037305	0.007032281	0.000612344	0.124793666	0.002387333	0.003722917	0.0022279	0.013329509	0.002104084	0.001039518	0.000214639	4.17E-05	0.036497674	7.60E-05	0.000745708	1.87E-05	0.015254483	0.018371431	3.44E-05	0.001422544	1.19E-05	0.008022476
Influenza A virus	3.74E-05	9.46E-06	7.50E-08	3.62E-06	7.36E-07	1.73E-07	7.62E-07	1.76E-07	9.88E-05	3.56E-07	5.33E-06	5.04E-07	2.65E-06	1.23E-07	5.04E-06	1.16E-06	3.29E-06	2.42E-07	5.04E-06	7.78E-07	1.28E-05	1.49E-07	1.11E-07	1.65E-08	2.43E-05	2.10E-05	1.34E-06	0	2.56E-07	1.51E-06	5.08E-07	3.17E-06	7.91E-07	0	3.78E-07	1.67E-06	3.13E-07	0	2.00E-05	5.36E-06	2.71E-07	1.19E-05	9.20E-07	1.22E-05	1.15E-06	1.27E-05	2.51E-06	3.82E-07	7.16E-06	2.97E-07	2.02E-06	1.20E-06	6.44E-06	3.78E-08	4.00E-06	2.01E-07	6.34E-06	4.49E-08	2.53E-06	3.11E-05	8.45E-06	2.80E-07	1.98E-05	0	3.36E-07	3.79E-05	3.81E-06	3.37E-07	3.95E-05	1.66E-07	4.46E-06	5.56E-07	7.40E-07	1.30E-06	9.85E-06	6.65E-05	1.01E-07	4.04E-06	8.39E-05	3.12E-07	4.35E-06	4.39E-07	8.12E-05	3.84E-06	5.51E-07	9.31E-06	1.53E-06	2.29E-05	3.69E-07	4.12E-07	2.32E-06	3.05E-05	3.80E-06	1.77E-06	4.85E-05	2.96E-06	2.96E-05	1.73E-05	1.62E-05	2.75E-05	6.22E-08	3.27E-05	9.70E-08	7.92E-06	2.49E-06	9.38E-06	8.92E-08	1.27E-05	1.17E-07	1.89E-05	0	6.63E-05	5.73E-06	3.37E-07	0	3.66E-05	6.53E-06	1.06E-05	2.30E-07	4.08E-05	1.06E-06	1.44E-07	1.75E-07	2.54E-07	1.70E-05	9.59E-08	6.00E-08	4.28E-06	1.56E-07	2.15E-05	1.38E-06	1.71E-07	4.12E-05	1.73E-05	5.36E-07	0.000180918	1.16E-06	6.31E-07	4.68E-07	4.43E-06	7.93E-07	3.98E-07	5.01E-07	6.62E-06	2.09E-06	9.81E-07	8.54E-07	8.34E-08	6.01E-06	2.24E-05	2.99E-06	0	1.60E-06	1.46E-07	3.19E-05	2.65E-07	0	1.04E-06	2.70E-07	8.19E-06	1.21E-06	3.89E-07	4.57E-08	0	4.24E-07	2.38E-06	4.72E-05	0	9.67E-07	0	6.45E-07	3.68E-06	3.94E-07	0	1.54E-07	4.02E-07	0	6.50E-07	1.02E-06	0	4.33E-07	4.39E-07	1.82E-06	5.71E-08	1.49E-06	5.94E-08	2.01E-05	0	1.67E-07	0	3.44E-07	4.02E-06
Influenza B virus	6.23E-06	0	2.50E-08	0	9.20E-07	1.73E-07	0	2.52E-08	1.80E-05	5.09E-08	2.66E-06	0	0	4.94E-07	0	2.33E-07	0	0	0	0	0	1.49E-07	0	0	0	2.10E-05	7.04E-08	0	0	1.51E-06	0	1.69E-06	1.32E-07	0	6.29E-08	0	1.56E-07	0	0	6.70E-07	0	2.98E-06	1.84E-06	0	3.83E-07	1.27E-05	0	0	1.79E-06	3.71E-08	0	0.000178211	1.84E-06	3.78E-08	0	0	0	0	0	0	2.82E-06	4.00E-08	0	0	0	0	6.34E-07	0	0	6.21E-08	0.000169304	0	0	3.24E-07	0	2.22E-05	0	1.21E-05	1.20E-05	6.25E-08	0	0	0	5.12E-06	0	0	0	1.89E-07	0	1.03E-07	1.16E-06	1.02E-05	0	1.06E-06	2.27E-05	0	0	0	0	2.06E-05	0	0	0	6.36E-07	0	0	0	0	0	1.26E-05	0	0	5.73E-06	1.44E-07	0	6.77E-05	0	0	0	2.04E-05	1.76E-07	0	0	4.61E-08	0	0	0	1.43E-06	2.61E-08	0	0	0	1.03E-05	4.03E-05	1.79E-07	2.13E-05	1.78E-07	0	2.01E-07	0	7.27E-07	2.39E-07	4.01E-07	1.32E-06	6.97E-07	0	0	0	6.06E-05	4.32E-07	7.03E-06	0.000265366	4.52E-06	0	6.38E-06	2.92E-06	0	0	5.40E-08	2.21E-05	0	0	0	2.08E-06	0	0.000391931	1.03E-05	1.27E-06	2.64E-07	0	4.83E-07	1.23E-06	0	0.000313496	0	6.62E-07	0	0	0	1.80E-06	7.94E-07	7.32E-08	5.15E-07	1.14E-07	1.83E-05	0	4.03E-06	0	0	1.20E-05	8.59E-08	1.34E-06
Pestivirus A	6.23E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.19E-08	0	0	3.70E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56E-07	0	0	0	0	0	0	1.11E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.96E-06	1.37E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.82E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.37E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dengue virus	6.23E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.40E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.13E-07	0	0	0	0	0	0	0	0	2.51E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.00E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.84E-07	0	1.51E-06	0	0	0	0	0	0	5.78E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43E-06	0	0	1.38E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.01E-07	0	0	0	0	0	1.28E-06	0	0	0	0	0	0	0	0	0	3.26E-08	0	0	0	8.79E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Norwalk virus	6.23E-06	0	0	0	0	0	0	0	0	4.58E-07	0	0	0	0	0	0	1.10E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.48E-07	0	0	0	0	0	0	0	4.49E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.78E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.68E-08	0	0	0	0	2.31E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.81E-08	0	4.77E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.70E-07	0	5.20E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human coronavirus HKU1	0	1.89E-06	0	0	0	1.15E-07	0	0	0	0	0	0	0	0	2.52E-06	0	0	0	0	4.10E-08	0	0	0	5.79E-08	0	0	7.04E-08	0	0	0	0	0	0	0	0	0	4.69E-07	0	0	0	0	0	0	0	0	0	0	1.91E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07E-08	0	5.56E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.78E-07	0	0	0	0	0	0	0	0	6.87E-08	0	0	0	0	0	3.23E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31E-08	8.75E-08	0	0	0	3.60E-08	0	0	0	0	0	0	0	0	0	0	0	8.92E-08	0	4.41E-08	0	0	0	0	9.81E-08	0	0	2.50E-07	0	1.50E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.79E-08	0	0	0	0	0	0	4.73E-07	0	0	0	0	0	0	0	0	0	0	4.03E-06	0	0	0	4.30E-08	0
Respiratory syncytial virus	0	3.79E-06	5.00E-08	0	3.68E-07	5.18E-07	0	2.52E-08	4.49E-06	5.09E-08	2.66E-06	1.37E-07	2.04E-07	1.23E-07	0	4.65E-07	0	2.42E-07	0	0	4.26E-06	2.97E-07	1.85E-07	0	1.21E-05	0	0	0	2.56E-07	0	2.54E-07	2.11E-07	0	0	0	1.67E-06	0	0	0	0	0	2.98E-06	0	2.22E-06	3.83E-07	0	0	0	0	3.71E-08	0	0.00010174	0	0	2.00E-06	0	0	0	0	3.89E-06	2.82E-06	0	1.98E-05	2.61E-07	0	0	0	0	0	0	0	2.78E-07	0	0	6.38E-08	2.22E-05	0	4.04E-06	3.60E-05	0	0	1.46E-07	4.51E-06	1.28E-06	9.18E-08	0	1.09E-07	1.32E-06	0	0	3.49E-06	0	0	7.06E-07	1.02E-05	0	3.60E-05	1.73E-05	6.47E-06	0	0	8.18E-06	0	1.97E-06	0	0	0	2.55E-06	2.33E-08	6.29E-06	3.90E-05	1.11E-05	0	0	3.08E-07	2.76E-05	1.31E-05	0	0	5.10E-05	5.29E-07	2.63E-08	1.31E-07	2.31E-08	8.48E-06	0	1.20E-08	0	0	0	0	0	5.15E-06	2.88E-05	1.07E-06	1.06E-05	0	7.43E-08	0	1.93E-06	2.20E-08	8.76E-07	7.02E-07	5.29E-06	4.64E-07	2.94E-07	0	1.19E-08	0	0	1.50E-07	0	7.30E-07	1.25E-07	3.83E-06	0	0	3.02E-07	3.60E-08	8.79E-06	2.01E-07	1.15E-07	0	0	0	2.38E-06	0	6.94E-07	8.79E-07	0	3.22E-07	1.84E-06	1.97E-07	0	0	1.89E-07	0	6.50E-07	3.41E-07	5.99E-07	2.17E-07	0	1.15E-06	5.71E-08	1.49E-06	0	0	0	0	4.01E-06	0	0
Bas-Congo tibrovirus	0	0	2.50E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.76E-06	0	0	0	0	0	0	0	0	0	0	0	9.81E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human respirovirus 3	0	0	5.00E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.59E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.95E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98E-08	0	0	0	0	0	0	1.11E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.78E-08	0	0	0	0	0	0	0	0	0	9.63E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.56E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.09E-08	0	0	0	0	0	3.03E-07	0	1.44E-08	0	0	0	0	0	0	0	0	0	6.14E-07	0	0	0	2.37E-08	0	0	7.58E-08	0	0	0	0	0	4.96E-07	0	0	0	0	0	0	0
