taxonomy	UCS_0001_BAL	UCS_0002_BAL	UCS_0002_UA	UCS_0004_BAL	UCS_0005_BAL	UCS_0006_BAL	UCS_0007_BAL	UCS_0007_UA	UCS_0009_BAL	UCS_0009_UA	UCS_0010_BAL	UCS_0010_UA	UCS_0013_BAL	UCS_0013_UA	UCS_0014_BAL	UCS_0014_UA	UCS_0015_BAL	UCS_0015_UA	UCS_0016_BAL	UCS_0016_UA	UCS_0017_BAL	UCS_0018_BAL	UCS_0018_UA	UCS_0019_BAL	UCS_0020_BAL	UCS_0021_BAL	UCS_0021_UA	UCS_0022_BAL	UCS_0022_UA	UCS_0023_BAL	UCS_0023_UA	UCS_0025_BAL	UCS_0025_UA	UCS_0028_BAL	UCS_0028_UA	UCS_0029_BAL	UCS_0030_BAL	UCS_0030_UA	UCS_0031_BAL	UCS_0032_BAL	UCS_0032_UA	UCS_0033_BAL	UCS_0034_BAL	UCS_0035_BAL	UCS_0036_BAL	UCS_0037_BAL	UCS_0038_BAL	UCS_0038_UA	UCS_0039_BAL	UCS_0039_UA	UCS_0040_BAL	UCS_0040_BKG	UCS_0041_BAL	UCS_0041_UA	UCS_0042_BAL	UCS_0042_UA	UCS_0043_BAL	UCS_0043_UA	UCS_0044_BAL	UCS_0045_BAL	UCS_0046_BAL	UCS_0046_UA	UCS_0047_BAL	UCS_0048_BAL	UCS_0048_UA	UCS_0049_BAL	UCS_0050_BAL	UCS_0050_UA	UCS_0051_BAL	UCS_0051_UA	UCS_0052_BAL	UCS_0053_BAL	UCS_0053_UA	UCS_0054_BAL	UCS_0054_UA	UCS_0055_BAL	UCS_0055_UA	UCS_0056_BAL	UCS_0057_BAL	UCS_0057_UA	UCS_0058_BAL	UCS_0058_UA	UCS_0059_BAL	UCS_0060_BAL	UCS_0060_UA	UCS_0061_BAL	UCS_0061_UA	UCS_0062_BAL	UCS_0063_BAL	UCS_0063_UA	UCS_0064_BAL	UCS_0065_BAL	UCS_0066_BAL	UCS_0069_BAL	UCS_0069_BKG	UCS_0070_BAL	UCS_0070_BKG	UCS_0071_BAL	UCS_0072_BAL	UCS_0073_BAL	UCS_0073_UA	UCS_0074_BAL	UCS_0074_UA	UCS_0075_BAL	UCS_0076_BAL	UCS_0077_BAL	UCS_0077_UA	UCS_0079_BAL	UCS_0079_UA	UCS_0080_BAL	UCS_0081_BAL	UCS_0082_BAL	UCS_0083_BAL	UCS_0083_UA	UCS_0085_BAL	UCS_0085_BKG	UCS_0087_BAL	UCS_0088_BAL	UCS_0088_UA	UCS_0090_BAL	UCS_0093_BAL	UCS_0093_UA	UCS_0094_BAL	UCS_0094_UA	UCS_0095_BAL	UCS_0096_BAL	UCS_0096_UA	UCS_0097_BAL	UCS_0097_UA	UCS_0098_BAL	UCS_0099_BAL	UCS_0099_UA	UCS_0100_BAL	UCS_0101_BAL	UCS_0101_UA	UCS_0103_BAL	UCS_0106_BAL	UCS_0106_UA	UCS_0109_BAL	UCS_0114_BAL	UCS_0115_BAL	UCS_0116_BAL	UCS_0118_BAL	UCS_0123_BAL	UCS_0128_BAL	UCS_0130_BAL	UCS_0130_UA	UCS_0134_UA	UCS_0136_BKG	UCS_0138_BAL	UCS_0144_BAL	UCS_0147_BAL	UCS_0148_BAL	UCS_0148_UA	UCS_0151_BAL	UCS_0153_BAL	UCS_0153_UA	UCS_0154_BAL	UCS_0154_UA	UCS_0156_BAL	UCS_0156_UA	UCS_0158_BAL	UCS_0158_UA	UCS_0159_BAL	UCS_0159_UA	UCS_0160_BAL	UCS_0163_BAL	UCS_0164_BAL	UCS_0164_UA	UCS_0167_UA	UCS_0168_BAL	UCS_0170_BAL	UCS_0170_UA	UCS_0171_BAL	UCS_0172_UA	UCS_0174_BAL	UCS_0174_UA	UCS_0175_BAL	UCS_0175_UA	UCS_0176_BAL	UCS_0177_BAL	UCS_0177_UA	UCS_0180_BAL	UCS_0182_UA	UCS_0185_BAL	UCS_0185_UA	UCS_0190_BAL	UCS_0191_BAL	UCS_0191_UA	UCS_0192_BAL	UCS_0192_UA	UCS_0194_BAL
Streptococcus mitis	19137	32	51	48	51	81	150	186	35	21814	146	37491	16235	34671	36	345	12820	48373	32617	159505	33	13011	2065259	263	34	75	15993	101	364	112471	1197486	9249	17153	17359	626140	46	331	107	29	3480	2368	35	55	6881	44	104	36753	202092	118	5206	4314	2469	96	81	52	120	208	1064	84	79	35	68	40	42	151	78	10564	55230	119	216	27	434612	230841	48	181	49	69	75	87	25	63	97	40	149	775	65	98	2301	65	150	50	57	118	122	2694	2384	9000	1603	52	934	44242	998	2144	1609	39	65	57	40	556	34	31	34	326	68	38	26299	113	15240	175234	27	96	56	298	615	38	123	689	26	153	109	47	52	79	26	882	91	66481	574157	3250	2120	833	492	420	55	10982	1005	1605	411	3405	784	122	53	283	60824	80331	6321	69649	1582	1960	310	210	4622	250	82	252	80	500	653	32	185468	53	12343	17148	39	350451	4978	790	1026	4482	1441	64181	51910	6432	80	647	82	34	31	192	74	64	52
Streptococcus oralis	6332	82	251	99	159	111	169	118	68	15070	58	34394	43927	84264	57	1247	20259	90386	9662	295995	61	965	145654	152	70	82	8306	74	179	82390	199336	1724	3591	1395	50235	54	667	456	48	69627	41463	71	107	15415	54	146	15571	119524	346	11027	329	1929	108	163	115	165	339	2944	162	122	210	99	75	46	96	99	604	1991	130	206	53	389288	65332	118	86	56	93	64	100	51	97	765	67	269	283	93	121	1468	108	215	24	454	81	138	2480	2985	1484	175	96	394	2752405	34046	103	2014	77	91	112	76	52	65	62	50	287	82	72	1279	151	64233	1212960	40	151	48	109	207	74	53	131	74	130	129	52	96	100	65	184	99	18642	192944	1709	3428	446	67	791	69	505290	4822	9766	366	1380	113	51	86	3047	1583118	8814	6527	126533	1028	5994	270	2236	13013	311	91	100	120	145	198	89	47889	74	10267	103008	76	2061848	11187	1169	1618	13113	15227	8597	18021	1284	200	256	128	66	48	186	87	81	80
Streptococcus anginosus	3179	252	240	118	183	114	229	405	272	1904	754	2146061	3062	8818	151	1334	2417	17526	341	3590	274	201	2192	246	259	143	1579	572	24576	3232	11110	268	463	4222	96459	237	102939	62836	153	318704	357984	297	311	2047	184	167	2250	9321	234	2585	216	3299	194	113	507	361	5039	27018	271	510	256	194	318	857	1001	136	121954	659664	157	1978	203	71051	39736	357	290	192	311	153	130	197	132	341	201	6725	28695	187	932	1913	164	211	231	201	214	228	192	433	7818	278	281	6876	710	183	272	3435	314	113	447	298	201	93	250	249	302	265	259	2562	228	58846	1032317	130	508	311	219	340	342	205	496	357	152	169	201	251	138	156	299	153	1186382	6379366	406	781102	369	645	14054	129	649	55322	108237	5270	352	433	257	124	144	2533	1112	1686	15324	211559	299080	383	2988	4404	351	84	287	185	154	127	296	1201226	297	712061	2908424	327	39033	1123208	134692	351769	1153084	1353	4491	13134	5169	168	6526	144	291	230	205	104	157	361
Streptococcus intermedius	418	142	223	29	141	35	76	458	158	1737	191	21996	886	2683	102	266	1552	5330	330	4027	188	196	3792	188	172	67	4423	31	218	4441	16775	176	601	434	12118	190	8268	5219	95	12836	15023	132	422	773	83	69	1381	5516	1680	190661	150	668	74	50	291	138	4489	25591	48	357	188	48	136	251	203	37	6989	32570	61	333	106	6239375	1254977	182	488	140	211	33	51	148	81	133	150	7203	4620	95	268	815	58	93	136	111	99	29	69	289	405	124	172	474	1490	70	58	1177	188	30	302	179	133	37	125	135	936	33	185	108	75	3781	68590	168	849	156	106	1377	136	111	178	162	61	650	190	226	44	126	144	42	533978	1085203	210	46797	90	272	31555	32	488	61994	121899	540	96	242	172	45	66	2623	377	1725	18224	19519	26296	598	2207	11684	325	45	199	71	47	87	113	77166	165	31167	102506	149	6794	85631	7103	38784	81784	464	297450	799286	317	45	1174	28	145	137	101	31	52	196
Streptococcus constellatus	137	6	13	7	9	7	23	24	8	401	53	6934	586	2711	5	36	499	805	21	185	13	5	189	6	9	10	135	14	92	4781	19128	35	77	354	8720	7	6201	4468	3	8848	7619	7	17	69	3	19	246	700	55	1195	11	28	15	6	13	16	6855	35086	12	67	14	8	3	9	24	9	1857	10251	7	22	3	68843	21145	10	5	6	11	11	9	11	19	54	9	8725	3578	22	127	133	4	18	0	1	1	15	12	48	79	32	6	272	89	10	18	211	10	3	14	8	9	6	12	6	61	14	7	5	40	1222	16719	2	14	16	7	30	16	9	11	13	10	12	2	19	38	3	7	12	23350	118523	38	13396	14	224	9141	4	24	118440	227628	25	17	18	5	8	12	207	226	1164	24520	13926	19484	991	2386	332	15	4	8	6	8	2	6	51814	30	16472	56257	6	251	25699	2575	10446	23861	130	1400	4065	398	6	111	11	10	4	4	6	21	10
Streptococcus pneumoniae	3154	39	105	19	84	200	63	45	22	11040	19	18805	6844	16052	14	900	3936	22725	9238	73471	25	2645	440853	16	33	48	34153	60	2762	36976	326837	2555	4873	3888	163553	51	1150	353	25	12056	9116	27	64	5722	29	37	16238	93674	86	4284	1150	107	98	101	54	426	342	2138	41	43	25	169	30	179	248	20	1461	6474	44	313	36	151287	72024	45	63	29	48	34	40	28	43	188	34	188	1111	34	77	572	32	87	19	72	389	92	7074	2904	5328	341	33	380	53238	644	285	955	56	24	32	33	104	20	20	12	148	51	39	2363	35	8361	100970	16	59	86	220	626	40	40	118	44	110	77	29	99	31	17	1725	51	39357	229251	808	10451	232	14	1267	60	9309	1701	3424	1304	19353	39	50	27	580	68474	10695	2339	45937	7652	9083	50	403	7853	372	48	58	82	189	253	39	64817	53	10271	17978	26	193915	19061	1989	2693	9618	857	16591	19321	2587	413	338	160	35	22	155	49	90	52
Streptococcus sp. ChDC B345	1655	3	42	13	2	13	14	9	6	3166	6	4188	1509	4001	2	41	3859	13612	2335	15901	9	1943	348920	4	3	12	1855	18	61	10051	105046	2515	8883	4072	112135	3	231	139	5	1664	1003	4	5	1105	7	19	6420	39968	22	976	413	16	10	15	9	12	35	156	7	7	3	47	7	5	18	9	742	2621	8	30	4	38843	23379	10	95	4	3	14	19	2	13	73	6	34	35	9	29	163	12	21	3	4	11	11	574	502	619	275	3	88	8648	252	16	217	4	18	12	9	6	8	3	3	54	14	4	352	11	1648	22930	4	12	12	84	77	8	7	14	11	6	16	1	10	6	5	74	18	11220	98900	418	1810	98	0	80	13	1400	147	159	74	19	14	4	10	119	13518	6510	218	7941	195	186	57	48	6052	57	3	16	9	99	94	10	16572	4	3357	3391	8	62910	4273	265	1188	2889	180	5216	5143	157	15	119	14	5	6	11	6	6	6
Streptococcus sp. oral taxon 431	1652	22	112	18	23	18	81	89	14	44141	127	506913	3306	6970	9	530	1251	17072	36711	429030	55	311	57615	14	33	36	4037	21	89	11181	40712	818	1728	4003	99452	22	331	139	6	1480	932	16	27	56711	10	36	66861	350193	180	16473	111	10801	50	27	38	38	165	1439	56	41	19	35	25	9	28	28	1223	4508	22	327	9	16301	8098	18	220	18	49	27	37	20	27	33	18	62	1759	48	35	785	43	70	10	15	144	61	524	39560	14940	139	43	104	34673	350	81	684	18	60	28	25	24	18	20	11	425	22	12	196	30	2402	49201	10	26	47	12	51	25	16	29	29	37	112	21	25	36	19	31	41	33430	442071	1552	1922	3497	14	159	45	2184	984	1154	654	20056	32	26	38	120	12188	749	31970	443632	1249	2442	40	106	5690	83	54	37	814	73	18	78	14779	17	2586	20468	13	140729	3716	615	619	4332	699	28946	72134	10841	79	456	37	17	18	40	22	21	33
Streptococcus milleri	996	83	80	24	76	36	88	128	107	837	93	40294	1262	3973	36	136	2154	8979	61	643	98	50	362	60	77	43	1086	22	700	12877	48707	69	127	655	14043	76	41932	27445	50	135703	125334	83	116	255	58	69	382	1527	108	1191	59	271	36	39	152	61	32374	175351	31	275	69	35	83	113	66	33	42192	197906	54	289	59	33204	10232	100	77	58	95	25	50	50	51	169	55	23133	19663	77	373	534	66	80	68	58	47	36	54	142	336	132	103	929	188	45	42	1043	111	24	120	80	54	18	69	88	155	46	81	216	171	24136	347024	48	167	77	65	107	95	74	101	87	35	42	69	67	128	41	85	42	382805	1870826	59	274332	74	1222	20475	22	569	250287	498082	2472	63	141	95	32	43	1807	2059	3684	44192	38345	49852	1137	4946	2050	82	31	103	64	44	44	84	155168	330	57784	217243	78	1375	489229	53839	158391	485443	318	2469	9408	345	28	1839	17	82	65	105	30	38	114
Streptococcus pseudopneumoniae	677	4	5	11	4	6	11	9	4	2425	7	3581	1940	4412	6	219	681	3774	2673	15191	6	1025	190441	6	5	12	1592	9	147	15499	149555	898	1823	1416	63632	3	119	30	4	380	403	5	10	860	3	13	5506	28758	13	516	393	17	11	11	10	11	18	44	6	9	5	14	3	7	138	9	247	1603	10	21	5	47015	22337	2	11	8	5	5	6	6	2	44	6	30	907	5	34	123	11	15	2	2	25	8	214	361	1883	80	3	97	9373	157	10	130	6	18	8	8	5	6	0	1	36	9	3	3801	10	1896	13287	2	11	16	71	204	6	3	8	1	5	8	0	12	6	3	159	12	5689	46289	336	565	15	6	151	4	1801	1778	3977	75	7	10	7	11	102	4877	2053	177	7660	749	856	15	43	152	5	4	15	9	37	4	3	16006	1	4328	2076	0	62897	259	30	384	1296	342	5399	5121	392	7	39	21	1	2	8	2	4	4
Streptococcus sp. NPS 308	618	3	34	31	11	3	15	20	7	2090	29	9868	3039	6186	2	1384	1807	7024	1465	24544	4	136	26228	3	12	8	206	15	17	10755	28070	468	1384	356	9704	4	54	47	7	5813	3545	4	6	3264	2	14	4315	25218	15	2027	76	2729	11	14	12	13	33	251	12	18	16	9	10	9	7	13	101	679	17	21	7	21189	6679	10	28	7	15	6	8	0	10	27	8	57	100	14	14	192	10	15	5	52	31	19	18	687	96	36	6	74	123971	1188	24	230	4	7	12	9	6	7	5	8	35	10	8	304	22	9513	170897	1	10	16	16	38	6	9	17	6	6	11	4	6	6	2	151	8	3018	25465	206	217	21	2	13	7	21278	138	300	143	18	11	4	8	4180	173104	1245	1716	38810	530	660	19	195	2578	14	2	15	113	127	5	8	10592	8	1054	8422	11	204090	1047	192	101	3924	1464	2054	4811	152	26	92	10	11	3	21	16	9	6
Streptococcus pyogenes	508	704	697	1343	1092	2329	845	121	5998	2108	1973	11602	1026	1907	1134	247	405	1585	1380	3045	667	289	2537	651	227	128	9988	618	1381	634	1363	1772	4471	123	4656	173	467	239	222	756	391	205	200	535	886	316	1947	4472	334	1327	508	896405	555	28	213	239	570	631	317	644	704	637	209	2020	980	1180	473	1565	157	4041	1703	5586	1622	334	3063	1055	218	424	1021	119	471	3427	240	2476	7953	258	708	58542	379	133	235	218	1671	2592	135966	1174	712867	81	491	279	1005	49	655	14255	174	946	124	370	212	872	732	641	292	1625	624	56519	95	765	6778	1302	392	2994	824	453	104	400	531	2024	433	189	682	224	1314	2519	7629	7173	8072	28911	577	15537	28418	2207	6397	3636	1559	1926	2133	1289	135723	192866	4205	1361	31801	3488	3064	4660	1905	17429	18564	10119	1068	5319	520	3653	302	5818	24103	1099	22285	3127	5183	3100	3501	64073	8689	13929	2012	8360	6098	668	7296	6593	20563	1102	4499	281	314	161	706	607	271	102
