	Gene.symbol	baseMean	logFC	lfcSE	stat	pvalue	adj.P.Val	abundance.1	abundance.2
1	'processing and CCA adding factors	640.691666232372	0.467712409736088	0.280784840784234	1.66573241073045	0.0957667235203084	NA	0.000279046904973121	0.000291011905083623
2	'processing factors	807.800246884845	0.0731758261845841	0.326967924595861	0.223801237613845	0.822911966917188	NA	0.000330108670820632	0.000346568930252747
3	AAA proteases	67.412790775438	-1.55756850030176	0.504372999202497	-3.08812823597724	0.00201421534170959	NA	4.31146758457411e-05	1.34514589770127e-05
4	AauS-AauR (acidic amino acids utilization)	1.33643932928133	0.362442675918944	2.39023487817698	0.151634753232024	0.879475021230665	NA	1.00280202528084e-06	3.58237600814082e-07
5	ABC transporters	42415.3849512584	0.278757840826027	0.167878688490452	1.66047187604686	0.0968195611109182	0.287692410158157	0.0174960239569978	0.0182859501539625
6	ABC-2 type and other transporters	4115.69429896483	0.300431313883099	0.185385705416891	1.62057432210049	0.105108962924629	0.301879832259376	0.00162026896341675	0.00169623142077425
7	ABC1 family	0.847149957411983	-0.338345711201216	2.70663868837669	-0.125005865265356	0.900518906955333	NA	4.84580417090059e-07	1.89018046588113e-07
8	ABCA (ABC1) subfamily	4.2259966020427	1.26314447565632	1.47901959024262	0.854041747647925	0.393081858333533	NA	1.25491021154774e-06	3.91278778068117e-06
9	ABCB (MDR/TAP) subfamily	849.209091732738	-0.542977195029134	0.306164417227924	-1.77348236593057	0.0761488113703763	NA	0.000405438673750585	0.000285479079567235
10	ABCC (CFTR/MRP) subfamily	53.2430356856592	-0.268440508783232	0.599856005378399	-0.447508245939616	0.65450813544096	NA	3.11941368629471e-05	2.49557541207539e-05
11	ABCD (ALD) subfamily	0.36622340156884	-1.99503449933485	2.75988628178092	-0.722868370521224	0.469760757421054	NA	2.58481362447558e-07	4.22550085687045e-08
12	ABCG (White) subfamily	1.33090010937951	-1.5669828796443	2.55542660488318	-0.613198155114275	0.539745324496799	NA	1.13797390973182e-06	2.01901331896146e-07
13	ABO blood group	1.09926300460225	-0.870861920941598	1.69754303355753	-0.513013162980933	0.607942113092951	NA	7.66648321921062e-07	1.34293488489025e-06
14	Acarbose and validamycin biosynthesis	83.0869508689835	0.127100264400537	0.448758770933175	0.283226251235687	0.777003406290404	NA	5.72953621407524e-05	3.75511778941966e-05
15	Accessory factors involved in transport	457.386617330738	-0.490253621436664	0.264568359513645	-1.85303194356988	0.0638777802734901	NA	0.000207553731658267	0.000157041573286123
16	ACHE	1.2238276609979e-05	-1.3503269656407	2.9515643305764	-0.457495353108905	0.647315041569541	NA	6.96925054393752e-12	0
17	ACP1	0.104478010774914	-0.357311673817452	2.94855482287452	-0.121181967194733	0.903546906941129	NA	5.06959206141578e-09	8.34836786069468e-08
18	actI1, oxyA, tcmK, snoa1, aknB, mtmP	0.118964422307171	-1.35218908528452	2.94952208268454	-0.458443451982503	0.646633880072604	NA	7.03031919110605e-08	6.61668510957363e-09
19	actI2, oxyB, tcmL, snoa2, aknC, mtmK	0.139752040690803	-1.71624068376822	2.95099176580726	-0.581580980216232	0.560848957263434	NA	9.02475531154181e-08	0
20	actI3, oxyC, tcmM, snoa3, aknD, mtmS	2.90497847878615	0.738425895803904	1.30266122757606	0.566859502817887	0.570809640097455	NA	4.95286840697071e-06	2.37923653750995e-06
21	actIII, oxyJ, snoaD, aknA	1.78731407778378	-1.47517277505048	2.18551666873328	-0.674976675380603	0.499690583992566	NA	1.5808721842972e-05	8.8539513046081e-07
22	Actin filaments / Microfilaments	4365.21508960513	0.40898497999097	0.286556690700215	1.42723933261371	0.153510920764336	0.364917388788363	0.00144420049158052	0.00167854228091068
23	Actin homologs	265.85575864877	0.310470044322048	0.377559019295058	0.822308641710448	0.410901259640296	NA	8.77237156372366e-05	0.000103140500938809
24	Actin-binding proteins	763.995125225737	0.119632883959548	0.244392711370026	0.489510850339623	0.624480074707346	NA	0.000322934048143574	0.00032292232351783
25	Acting on a heme group of donors	0.106174504092923	-1.82995379342983	2.95076884218126	-0.620161690495923	0.535151340438315	NA	9.64427980536705e-08	0
26	Acting on a peroxide as acceptor	1925.20864377009	-0.333135864751669	0.205633667484142	-1.62004533998481	0.105222537686561	0.301879832259376	0.000906003331014046	0.000699979371203847
27	Acting on a sulfur group of donors	3534.61575051078	-0.387288079902769	0.222506033771315	-1.74057338283604	0.0817583866507864	0.265714756615056	0.00169546312351252	0.00131662671558169
28	Acting on acid anhydrides	20460.4847926885	0.351299011091852	0.220986730508175	1.5896837347836	0.111906111805533	0.308297632523852	0.00703555831602669	0.00772627916463042
29	Acting on carbon-carbon bonds	27.705910805808	-0.552224097180775	0.753968974065744	-0.732422839898744	0.463910522388853	NA	1.89363678970474e-05	1.16455112169982e-05
30	Acting on carbon-nitrogen bonds, other than peptide bonds	21609.5970942853	0.0965644063106064	0.225185395569344	0.428821798440611	0.668052913995161	0.805536267310108	0.00798271420843894	0.00756256720072145
31	Acting on carbon-phosphorus bonds	14.7631474798712	-0.535678110588678	1.16810797791577	-0.458586124498931	0.646531402635325	NA	1.02300389765424e-05	6.86534537114667e-06
32	Acting on carbon-sulfur bonds	7.24497509319378	1.2344392200528	1.29496603503723	0.953259920842108	0.340458392983192	NA	4.93232258798877e-06	6.23355115354434e-06
33	Acting on CH or CH2 groups	2075.67187917787	-0.133732977595329	0.177960610431296	-0.751475156615955	0.45236674661973	0.656216964085819	0.000971281451341653	0.00081902505563271
34	Acting on diphenols and related substances as donors	16.0203496177912	-0.00412967079721306	0.704638336744403	-0.00586069559640074	0.995323868237185	NA	8.27566252385648e-06	6.47184982764977e-06
35	Acting on ester bonds	32296.6516925953	0.355062204559328	0.185866262907565	1.91031012839542	0.0560932944607455	0.225410720892783	0.0118535414333597	0.0129084700050978
36	Acting on ether bonds	344.221456189121	0.00983531371247685	0.259860078009347	0.0378484982680683	0.969808476025105	NA	0.000275590917724436	0.000153387873853534
37	Acting on halide bonds	413.417969925431	0.22860829686863	0.39426655365469	0.579831828871926	0.562028031190666	NA	0.000186561955431555	0.000173828369106299
38	Acting on hydrogen as donor	1493.11513284283	-0.292973351971012	0.310282468124807	-0.944214972059482	0.345059805807215	0.558540386053703	0.000729175354515425	0.000562417135161243
39	Acting on iron-sulfur proteins as donors	450.015981329671	0.199624280163192	0.244231210588316	0.817357780286669	0.413723995709888	NA	0.000243734899303609	0.000216170303452482
40	Acting on NADH or NADPH	1714.85792046067	0.350992054381205	0.26927981269622	1.30344733556825	0.192422085002679	0.40668094497678	0.000623176106565652	0.000728821518124061
41	Acting on other nitrogenous compounds as donors	804.541958174778	0.088729382957498	0.229588545057245	0.386471297753007	0.699147655614282	NA	0.000351716869696766	0.000360772563075301
42	Acting on paired donors, with incorporation or reduction of molecular oxygen	6899.20950113152	0.26154964308802	0.119788175395434	2.18343456876787	0.0290038225517784	0.172365574021998	0.0028335686545986	0.00308231431815081
43	Acting on peptide bonds (peptidases)	22171.7126898189	0.0497613481819695	0.18387392933085	0.270627534654097	0.786677516232704	0.894705060826122	0.00891972999970522	0.00820565415133833
44	Acting on phosphorus or arsenic in donors	1162.7792048339	0.934212347179278	0.338415453902453	2.76054871728335	0.00577043509587378	0.0771083451292982	0.00036895577965568	0.000606398702451713
45	Acting on phosphorus-nitrogen bonds	1.68458880767784	-0.818442696801377	1.80001409842587	-0.454686825796039	0.64933456004425	NA	1.72091484837927e-06	4.33218570350573e-06
46	Acting on reduced flavodoxin as donor	77.4495631401915	0.455624606396876	0.422116143418284	1.07938209305913	0.280417430277017	NA	2.93479424847802e-05	3.53720265354217e-05
47	Acting on single donors with incorporation of molecular oxygen (oxygenases)	1981.29687075647	0.184102326697892	0.274470851214694	0.670753655199201	0.502377475710274	0.699378115689573	0.000735583330702416	0.00066761921507851
48	Acting on sulfur-nitrogen bonds	0	NA	NA	NA	NA	NA	0	0
49	Acting on superoxide as acceptor	49.3334900344629	-1.20486876910083	0.61717467883208	-1.95223299079748	0.0509105490134085	NA	0.000113885806926917	2.96288113900158e-05
50	Acting on the aldehyde or oxo group of donors	5698.46436457241	-0.10908893217321	0.171930814996175	-0.6344931952753	0.525759006272126	0.708969260127177	0.00260957692841374	0.00223187084724083
51	Acting on the CH-CH group of donors	17501.5900396364	0.857882231510513	0.256889609132245	3.33949759357094	0.000839300781266091	0.0249392232147639	0.00590942064291876	0.0065953680749625
52	Acting on the CH-NH group of donors	9131.2267048806	-0.135360929277257	0.161430549029255	-0.838508758665791	0.401745030666636	0.607730664572075	0.00565462365653648	0.00359189100401037
53	Acting on the CH-NH2 group of donors	4047.3416734584	0.167549541552142	0.171777483964926	0.975387097801207	0.329368281190133	0.549407553077541	0.00177899463872071	0.00179848847187764
54	Acting on the CH-OH group of donors	22255.5755472245	0.298647491267534	0.163970146709513	1.82135283318745	0.0685532400757965	0.247983894535055	0.00860351257579856	0.00941805624629704
55	Acute myeloid leukemia	129.851127552094	-0.192506387121905	0.523544200157411	-0.367698442775272	0.71309810181972	NA	7.76744586119903e-05	5.66991641504572e-05
56	Acyltransferases	17478.4558690077	-0.0336509546744805	0.145189985927174	-0.231771870901341	0.816715205961811	0.901202985888895	0.00756711883285694	0.00675869013316359
57	Adenylate cyclase	3.59420718766022	0.00544615108791978	1.30420128448655	0.00417585165165963	0.996668162122226	NA	1.61872196409435e-06	1.09405199915348e-06
58	AdeS-AdeR	1.43346735441903	0.573903296382852	1.72469876995033	0.332755670950805	0.739318722507658	NA	6.81308001093417e-07	9.13577213357859e-06
59	Adherens junction	245.930232214453	-0.53719716124874	0.368794512272644	-1.45663002938503	0.145218533786525	NA	0.00015117168229971	9.02755595793423e-05
60	Adhesin protein transporter	85.9054359065089	-0.660454925228968	0.503335643424297	-1.31215608085244	0.189467477066455	NA	4.10291914660455e-05	2.78749887421903e-05
61	Adipocytokine signaling pathway	345.121845822756	0.130842065162244	0.278198691720471	0.470318765171304	0.638127292644247	NA	0.000156527763840972	0.000150674457596767
62	ADP-ribosyltransferase	250.384824844949	-0.914008100084498	0.376919264453089	-2.42494397682413	0.0153107492763761	NA	0.000140884650491085	7.49890134518835e-05
63	Adrenergic signaling in cardiomyocytes	1578.5612395336	-0.4172347446328	0.213566053858185	-1.95365666544486	0.0507418343809995	0.222769502974536	0.000774312871720662	0.000669521240112372
64	Aflatoxin biosynthesis	85.8728440996688	-0.430486096567446	0.448782531252783	-0.959230956173223	0.337442408861227	NA	4.71065025520181e-05	2.97490430062917e-05
65	African trypanosomiasis	21.3862495902349	-1.3372188399562	0.72873279358961	-1.8349919911924	0.0665068761201065	NA	1.69889870050585e-05	5.08259413231235e-06
66	AGE-RAGE signaling pathway in diabetic complications	1480.51162304954	0.54109887906426	0.34013597829865	1.59083106048005	0.111647600748274	0.308297632523852	0.000556561371221104	0.000743044887795058
67	Aggrephagy	29.4472376864778	1.47211048930829	0.736520100962971	1.99873769552733	0.0456367421417745	NA	1.00572723756494e-05	2.47226167504656e-05
