taxonomy	UCS_0001_BAL	UCS_0002_BAL	UCS_0002_UA	UCS_0004_BAL	UCS_0005_BAL	UCS_0006_BAL	UCS_0007_BAL	UCS_0007_UA	UCS_0009_BAL	UCS_0009_UA	UCS_0010_BAL	UCS_0010_UA	UCS_0013_BAL	UCS_0013_UA	UCS_0014_BAL	UCS_0014_UA	UCS_0015_BAL	UCS_0015_UA	UCS_0016_BAL	UCS_0016_UA	UCS_0017_BAL	UCS_0018_BAL	UCS_0018_UA	UCS_0019_BAL	UCS_0020_BAL	UCS_0021_BAL	UCS_0021_UA	UCS_0022_BAL	UCS_0022_UA	UCS_0023_BAL	UCS_0023_UA	UCS_0025_BAL	UCS_0025_UA	UCS_0028_BAL	UCS_0028_UA	UCS_0029_BAL	UCS_0030_BAL	UCS_0030_UA	UCS_0031_BAL	UCS_0032_BAL	UCS_0032_UA	UCS_0033_BAL	UCS_0034_BAL	UCS_0035_BAL	UCS_0036_BAL	UCS_0037_BAL	UCS_0038_BAL	UCS_0038_UA	UCS_0039_BAL	UCS_0039_UA	UCS_0040_BAL	UCS_0040_BKG	UCS_0041_BAL	UCS_0041_UA	UCS_0042_BAL	UCS_0042_UA	UCS_0043_BAL	UCS_0043_UA	UCS_0044_BAL	UCS_0045_BAL	UCS_0046_BAL	UCS_0046_UA	UCS_0047_BAL	UCS_0048_BAL	UCS_0048_UA	UCS_0049_BAL	UCS_0050_BAL	UCS_0050_UA	UCS_0051_BAL	UCS_0051_UA	UCS_0052_BAL	UCS_0053_BAL	UCS_0053_UA	UCS_0054_BAL	UCS_0054_UA	UCS_0055_BAL	UCS_0055_UA	UCS_0056_BAL	UCS_0057_BAL	UCS_0057_UA	UCS_0058_BAL	UCS_0058_UA	UCS_0059_BAL	UCS_0060_BAL	UCS_0060_UA	UCS_0061_BAL	UCS_0061_UA	UCS_0062_BAL	UCS_0063_BAL	UCS_0063_UA	UCS_0064_BAL	UCS_0065_BAL	UCS_0066_BAL	UCS_0069_BAL	UCS_0069_BKG	UCS_0070_BAL	UCS_0070_BKG	UCS_0071_BAL	UCS_0072_BAL	UCS_0073_BAL	UCS_0073_UA	UCS_0074_BAL	UCS_0074_UA	UCS_0075_BAL	UCS_0076_BAL	UCS_0077_BAL	UCS_0077_UA	UCS_0079_BAL	UCS_0079_UA	UCS_0080_BAL	UCS_0081_BAL	UCS_0082_BAL	UCS_0083_BAL	UCS_0083_UA	UCS_0085_BAL	UCS_0085_BKG	UCS_0087_BAL	UCS_0088_BAL	UCS_0088_UA	UCS_0090_BAL	UCS_0093_BAL	UCS_0093_UA	UCS_0094_BAL	UCS_0094_UA	UCS_0095_BAL	UCS_0096_BAL	UCS_0096_UA	UCS_0097_BAL	UCS_0097_UA	UCS_0098_BAL	UCS_0099_BAL	UCS_0099_UA	UCS_0100_BAL	UCS_0101_BAL	UCS_0101_UA	UCS_0103_BAL	UCS_0106_BAL	UCS_0106_UA	UCS_0109_BAL	UCS_0114_BAL	UCS_0115_BAL	UCS_0116_BAL	UCS_0118_BAL	UCS_0123_BAL	UCS_0128_BAL	UCS_0130_BAL	UCS_0130_UA	UCS_0134_UA	UCS_0136_BKG	UCS_0138_BAL	UCS_0144_BAL	UCS_0147_BAL	UCS_0148_BAL	UCS_0148_UA	UCS_0151_BAL	UCS_0153_BAL	UCS_0153_UA	UCS_0154_BAL	UCS_0154_UA	UCS_0156_BAL	UCS_0156_UA	UCS_0158_BAL	UCS_0158_UA	UCS_0159_BAL	UCS_0159_UA	UCS_0160_BAL	UCS_0163_BAL	UCS_0164_BAL	UCS_0164_UA	UCS_0167_UA	UCS_0168_BAL	UCS_0170_BAL	UCS_0170_UA	UCS_0171_BAL	UCS_0172_UA	UCS_0174_BAL	UCS_0174_UA	UCS_0175_BAL	UCS_0175_UA	UCS_0176_BAL	UCS_0177_BAL	UCS_0177_UA	UCS_0180_BAL	UCS_0182_UA	UCS_0185_BAL	UCS_0185_UA	UCS_0190_BAL	UCS_0191_BAL	UCS_0191_UA	UCS_0192_BAL	UCS_0192_UA	UCS_0194_BAL
Proteus phage VB_PmiS-Isfahan	0.028283848	0.161624267	0.000598988	0.064986416	0.001773179	0.000615081	0.005791122	5.20E-05	0.116878686	0.000105689	0.02066699	2.72E-05	0.002124712	7.58E-05	0.031580513	0.000314359	0.042019795	0.000386258	0.008240747	1.04E-05	0.058407874	0.000712682	0.000120914	9.15E-05	0.077421079	0.321688012	0.000835358	0.093224282	0.00054488	0.02280699	0.000321539	0.009872039	0.000467096	0.002886766	2.40E-05	0.010135761	0.001569444	0.000619862	0.089177576	0.030204189	0.000349514	0.064701028	0.007349344	0.038264402	0.010056744	0.229342114	0.034868679	0.000127066	0.022455264	2.51E-05	0.016978037	8.25E-05	0.015126214	5.36E-06	0.022481277	2.48E-05	0.01020728	4.05E-05	0.012930412	0.12772015	0.067609633	0.000843126	0.057058039	0.004156715	0.000291194	0.25633374	0.002172765	3.09E-05	0.108426711	0.000976136	0.071562233	0.000508634	5.31E-05	0.002318043	0.001152634	0.121280653	0.000242562	0.08810692	0.168997194	0.000476448	0.021291604	0.000313211	0.068654468	0.049686761	9.42E-05	0.00982843	0.000254115	0.029038382	0.005569997	0.000101825	0.010436521	0.109010859	0.054483351	0.002215705	1.08E-05	0.061959236	1.20E-05	0.160150428	0.021653104	0.06125364	1.75E-05	0.037901352	0.000461661	0.013475939	0.005068464	0.014756422	3.33E-05	0.040613815	0.000620262	0.14827239	0.090134395	0.122352655	0.062845351	0.000258827	0.004939266	5.04E-05	0.03190003	0.015487052	0.000268511	0.344272162	0.004192452	0.000305699	0.000627141	5.46E-05	0.061332757	0.000354079	1.35E-05	0.042972487	0.000218755	0.069795181	0.009145212	6.57E-06	0.119048723	0.135475029	0.000829906	0.260522535	0.000393788	8.58E-05	0.000208227	0.005720713	0.000315012	0.001984516	0.002931073	0.021266796	0.012545119	0.000332122	0.000139454	1.43E-05	2.00E-05	0.001416687	0.005700292	0.594918874	0.001203842	0.000365788	0.050380837	0.003039838	7.17E-05	0.001715738	2.19E-05	0.0014661	0.000242051	0.000364495	2.39E-05	0.02297466	5.94E-05	0.031317568	0.02151115	0.003415088	0.004246202	4.35E-05	0.003585472	0.014741877	0.000180965	0.008619977	1.57E-05	0.000164023	0.000176325	0.003310615	0.000566264	0.001794007	0.002144947	0.000184658	0.001767112	0.001453415	0.01111472	8.32E-06	0.046323062	0.017886697	0.000211828	0.015235241	0.000594197	0.007763773
Escherichia virus DE3	0.002466506	5.68E-05	2.75E-07	4.53E-05	5.88E-06	6.05E-06	4.38E-06	4.79E-07	0.001400497	1.53E-06	0.000189092	1.37E-07	5.70E-06	1.48E-06	0.000249598	4.65E-07	1.32E-05	8.46E-07	3.70E-05	1.23E-07	6.38E-05	5.21E-06	3.33E-07	8.27E-08	0.000145757	6.30E-05	1.62E-06	0.000341216	2.05E-06	8.33E-06	3.56E-06	2.74E-06	1.75E-05	8.15E-06	6.29E-07	8.34E-06	1.56E-06	5.48E-06	0.000359748	3.01E-06	1.62E-06	8.04E-05	8.28E-06	1.11E-05	2.30E-05	0.000455898	3.43E-05	5.73E-07	2.59E-05	7.04E-07	3.03E-05	0.003638024	1.29E-05	0	1.20E-05	1.00E-07	9.06E-06	0	3.04E-05	8.95E-05	5.35E-05	3.60E-07	7.43E-05	6.78E-06	1.98E-07	0.00070438	1.14E-05	0	0.000296437	2.59E-06	0.000289599	1.06E-06	9.26E-07	2.92E-06	1.20E-05	0.000399095	1.51E-06	0.000189947	0.000383757	5.00E-07	5.44E-06	4.02E-06	0.000266103	6.91E-05	6.42E-07	8.89E-05	7.33E-06	0.000271696	2.96E-06	2.06E-07	1.05E-05	1.02E-05	0.000228218	1.52E-05	0.001748734	0.000171624	0.001334423	0.000294617	6.15E-05	5.49E-05	1.87E-07	0	8.09E-07	3.04E-05	5.82E-06	3.90E-05	1.43E-07	0.000325847	7.24E-07	0.000182516	0.000442345	0.000221073	8.60E-05	2.36E-06	8.31E-06	0.000976447	3.92E-05	0.000224261	5.37E-07	0.00031623	1.83E-05	7.88E-07	1.01E-06	1.84E-07	3.39E-05	1.05E-06	1.32E-07	0.000114243	7.55E-07	7.52E-05	5.51E-06	9.52E-08	0.000561575	0.001520186	9.29E-06	0.000766243	4.89E-06	8.91E-07	1.43E-06	0.00024289	3.07E-05	7.64E-06	3.71E-05	0.00054795	2.83E-05	9.81E-07	3.99E-07	1.04E-06	0.003830158	0.000152978	9.58E-05	0.001175192	0.00037818	1.42E-06	0.000605152	4.51E-05	5.06E-07	3.93E-06	5.22E-07	0.000563092	2.01E-06	1.23E-06	1.07E-07	9.07E-05	2.61E-07	0.000524163	0.00108413	4.30E-05	3.54E-05	3.63E-07	0.000161467	0.00014492	1.28E-06	0.000931559	6.15E-07	1.11E-06	3.51E-07	9.31E-05	9.48E-07	5.39E-06	1.92E-05	2.12E-06	6.58E-05	2.68E-06	3.62E-05	1.19E-07	0.000285845	6.92E-05	8.34E-07	0.000456817	2.15E-06	4.02E-06
Staphylococcus phage StB20-like	0.00077234	0.000149512	0.000338397	7.25E-06	0.000471524	4.61E-07	0.000477068	0.000716225	0.000152618	0.000703613	5.86E-05	1.79E-06	5.15E-05	5.02E-05	0.000163878	3.16E-05	3.62E-05	1.57E-06	0.000268811	0.000359441	8.72E-05	1.55E-05	0.000475876	9.10E-08	0.00043727	0	0.000120031	0.000124078	0.000104932	0.000120427	1.52E-06	0.000349075	0.000460638	0.000206198	0.000218409	8.01E-05	3.75E-06	2.74E-06	0.00019986	1.64E-05	4.93E-05	0.00017279	0.000108525	5.78E-05	3.06E-06	6.33E-05	7.69E-05	0.000265406	6.26E-06	0.000225231	3.43E-05	1.01E-05	0.001564908	0.001622513	0.00010396	4.37E-05	3.62E-06	2.29E-06	0.000435572	0.000151687	0.000253536	0.000656165	0.000109031	0.000285349	0.000562854	9.09E-05	6.98E-06	1.72E-05	5.93E-05	0.000114615	0.003818256	2.37E-05	5.35E-05	8.42E-06	9.87E-05	0.000155204	6.26E-06	0.000311189	0.000323795	0.00042074	0.000903478	0.001108003	8.12E-05	2.94E-05	8.26E-07	7.62E-06	6.10E-05	3.27E-05	0.000427836	0.000155315	9.30E-06	0.000213527	6.47E-05	7.06E-07	1.14E-06	0.00012132	2.82E-06	0.000121313	4.21E-05	2.75E-05	0.000455203	0.000139103	0.000534836	4.91E-06	1.66E-05	1.52E-05	7.90E-06	0.000290208	0.001206768	6.29E-06	0.000299234	0.000165804	0.000183423	0.000308127	0.000116613	4.31E-07	3.26E-05	1.69E-05	3.84E-05	0.000122412	0.006684256	0.006824625	8.31E-07	0.000515482	0.000118739	0.000354175	0.00021342	3.00E-05	2.07E-05	8.60E-05	0.000367737	0.000661021	3.09E-05	2.30E-05	0.000304114	0	3.06E-05	6.33E-05	0.001089574	0.000228058	9.98E-06	4.09E-05	1.19E-05	0.000502949	0.000290942	2.94E-07	0	1.16E-06	1.50E-06	0.000190333	4.08E-05	0	2.92E-07	9.17E-06	1.28E-06	9.70E-05	0.001040029	0.000268717	0.000312363	0.000107645	8.22E-05	2.40E-05	0.000436158	0.000956583	0.000502166	0.000175118	0.000413735	2.08E-06	0.000397603	5.55E-05	1.34E-05	0.000109918	0.000387049	6.58E-06	6.45E-05	1.31E-05	0.00013163	8.01E-06	0.000184899	5.39E-06	0.000211606	0.000163213	1.21E-05	1.14E-07	0.000305423	0.000595142	9.66E-05	0.000173119	0.000425991	0.00029653	0.00045718	8.58E-05
Streptococcus phage phiBHN167	0.000467141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.50E-06	5.04E-06	1.19E-06	0	0	4.07E-07	0	0	0	0	0	0	3.03E-06	1.27E-06	6.33E-07	0	1.16E-06	9.38E-06	0	0	0	0	1.00E-06	1.62E-06	0	0	0	0	0	1.67E-06	7.45E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.45E-07	9.26E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.87E-06	1.35E-05	2.45E-05	0	5.78E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45E-06	9.06E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.52E-06	0	0	0	0	0	0	0	1.96E-07	5.70E-08	0	0	0	0	0	1.46E-07	0	0	0	1.01E-06	0	0	0	0	0	0	0	0	0	0	0	0	3.27E-06	0	0	0	0	0	0	0	8.99E-06	5.16E-06	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus phage SMP	0.000355027	1.89E-06	1.00E-07	0	0	5.76E-08	0	1.51E-07	4.49E-06	5.14E-06	2.66E-06	3.58E-05	1.44E-05	1.81E-05	0	2.33E-07	1.76E-05	9.79E-06	5.54E-05	8.29E-05	0	5.06E-06	5.44E-05	0	0	0	0	1.03E-05	0	0.000237068	0.001053766	8.02E-06	6.85E-06	5.94E-05	0.000132266	0	4.69E-07	0	0	7.03E-06	1.38E-05	0	0	5.78E-05	0	0	0.000251527	0.000306105	0	3.34E-07	5.04E-06	0	0	7.55E-08	0	1.51E-07	0	1.35E-07	7.60E-06	0	2.82E-06	0	0	0	3.36E-07	1.51E-05	1.27E-06	1.12E-07	0	4.14E-08	0	0.000174009	0.000113106	0	0	0	1.01E-07	0	0	0	0	3.25E-08	0	1.28E-06	9.18E-08	0	1.09E-07	1.89E-06	0	2.06E-07	0	0	0	3.53E-07	0	0.000266313	4.12E-07	8.67E-05	0	2.75E-05	5.94E-05	0.000147285	0	4.62E-07	0	0	0	0	1.40E-07	6.29E-06	0	0	5.73E-06	0	0	0	0	9.21E-05	0.000244555	1.02E-05	0	2.63E-08	8.75E-08	6.92E-08	0	0	0	1.43E-06	0	0	0	1.90E-08	0	0	3.04E-06	0	2.95E-05	0.000110316	0	0	0	0	0	0	0.000136067	9.81E-08	0	2.03E-07	0	0	0	6.32E-06	0	5.66E-05	0	1.30E-05	0.000229135	0	7.20E-08	0	4.02E-07	1.44E-08	0	0	3.26E-08	1.19E-06	0	0	0	5.08E-05	0	4.18E-05	8.96E-06	0	8.66E-05	0	0	0	2.65E-07	1.38E-05	3.32E-05	9.81E-06	7.92E-08	5.71E-08	4.96E-07	1.19E-07	0	0	8.34E-08	0	0	0
Streptococcus phage PH10	0.000118342	0	0	0	0	0	0	0	8.98E-06	7.12E-07	0	7.50E-05	1.63E-06	6.17E-07	0	4.65E-07	3.29E-06	1.08E-05	3.02E-05	8.76E-06	0	0	7.04E-06	1.65E-08	0	0	0	0	8.19E-06	2.58E-05	3.48E-05	0	0	4.66E-06	1.57E-05	1.67E-06	4.27E-05	7.85E-05	0	0.000135307	0.000178683	8.94E-06	0	2.22E-06	0	0	2.76E-05	4.32E-05	8.95E-07	1.11E-07	1.01E-06	0	9.21E-07	0	0	0	0	8.99E-08	0	0	2.82E-06	4.00E-08	9.91E-06	2.61E-07	0	1.51E-05	0.000123669	0.000148583	0	0	8.91E-06	2.81E-05	3.57E-05	0	0	0	1.01E-07	0	0	1.25E-07	0	0	0	2.56E-06	0	0	0	0	0	0	0	0	0	0	2.84E-07	5.33E-05	1.37E-07	1.73E-05	3.24E-06	6.87E-06	1.18E-06	0	0	3.47E-07	1.66E-06	0	1.78E-08	0	0	0	1.30E-05	2.21E-05	0	4.81E-08	3.08E-07	0	0	0.000102244	0.000238182	1.02E-05	1.76E-07	0	0	0	0	9.59E-08	0	0	0	0	5.51E-06	1.90E-08	0	0	8.93E-08	0	0.000288985	0.000533535	4.46E-08	0.000479808	2.20E-08	0	0	1.32E-06	4.64E-07	1.96E-07	5.70E-08	0	0	0	2.99E-07	0	0	4.18E-08	0	1.82E-05	1.54E-05	2.57E-05	4.61E-06	0	6.03E-07	1.44E-08	1.52E-08	0	6.52E-08	0	9.24E-06	1.16E-07	0	9.08E-07	0	0.000447654	0.000252385	0	5.64E-07	4.26E-07	3.51E-07	4.73E-05	4.72E-05	6.59E-06	1.44E-07	7.32E-07	0	0	7.44E-06	5.94E-08	8.05E-06	0	8.34E-08	0	0	0
Streptococcus phage phiARI0468-2	8.72E-05	0	0	0	0	0	0	0	0	2.54E-07	0	0	0	0	0	0	6.59E-06	0	0	3.85E-06	0	0	0	0	0	0	0	0	0	0	2.29E-06	0	0	0	6.29E-07	0	0	1.83E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.87E-06	1.84E-05	0.000106373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69E-06	6.42E-06	0	0	0	0	0	0	0	1.57E-06	3.65E-06	0	0	3.33E-08	0	0	0	2.09E-08	0	0	2.91E-06	0	0	0	0	0	0	0	0	0	0	0	0	2.45E-06	0	0	0	0	5.13E-08	0	0	0	0	0	0	5.12E-07	0	0	0	0	0	0	0	0	0	0
Staphylococcus phage IME-SA4	6.23E-05	0	2.50E-08	0	0	0	9.53E-07	2.52E-08	4.49E-06	2.03E-07	0	4.49E-06	6.51E-06	7.40E-07	0	0	1.10E-06	0	0	0	0	0	0	0	0	0	1.41E-07	0	5.12E-07	3.79E-06	0	0	0	8.85E-05	3.33E-06	0	3.13E-07	0	0	0	1.08E-06	2.98E-06	0	2.22E-06	0	0	0	3.82E-07	8.95E-07	0	0	1.33E-07	0	0	0	5.02E-08	0	0	0	0	0	0	0	1.49E-05	4.62E-05	0	1.90E-06	7.53E-06	1.98E-05	4.47E-06	8.91E-06	3.72E-06	9.26E-06	0	1.28E-07	2.22E-05	0	0	0	4.37E-07	3.05E-05	2.23E-05	0	0	0	0	2.19E-07	0	3.03E-05	1.06E-05	0	0	3.80E-06	0	0	0	6.87E-08	0	3.24E-06	0	0	0	0	1.73E-07	0	0	0	2.55E-06	5.37E-07	0	0	0	0	4.81E-08	3.08E-07	0	0	0	3.76E-06	0	1.76E-07	7.88E-08	0	1.98E-06	0	0	0	0	7.03E-07	0	1.38E-06	5.14E-07	0	0	6.73E-05	0	8.89E-08	3.23E-06	4.06E-05	1.16E-06	0	0	1.00E-06	2.38E-05	0	0	0	5.96E-08	0	0	0	0	0	0	0	1.72E-05	1.53E-05	1.60E-06	8.21E-06	0	5.22E-06	1.15E-07	1.52E-08	0.000119833	1.76E-05	0	0	0	7.48E-06	4.54E-07	1.61E-07	0	5.91E-06	0	5.64E-07	1.30E-06	1.05E-06	0	1.52E-07	0	0	0	0	0	0	5.35E-07	0	0	8.34E-08	0	0	2.68E-06
Staphylococcus phage StB20	4.36E-05	0.000121124	1.21E-05	0	1.66E-06	0	0	2.52E-07	4.04E-05	7.12E-07	2.66E-06	1.05E-06	5.19E-05	3.08E-05	2.52E-06	1.40E-06	2.20E-06	0	1.68E-06	0	0	0	0	0	0	0	6.83E-06	0	4.61E-06	1.06E-05	0	0	0	3.61E-05	3.66E-05	5.01E-06	1.56E-07	0	2.00E-05	1.00E-06	0	0	1.84E-06	3.33E-06	0	0	3.34E-05	4.49E-05	0	0	2.02E-06	1.46E-06	9.21E-07	4.98E-06	0	5.02E-08	0	3.60E-07	7.60E-06	1.17E-05	0	0	4.96E-06	4.72E-05	3.40E-05	0	0	3.48E-06	0	4.24E-05	1.78E-05	2.09E-05	3.96E-05	9.72E-07	4.81E-06	1.11E-05	1.01E-07	0	0	4.87E-06	0.000241653	0.000277493	4.51E-06	2.56E-06	0	0	5.47E-07	3.74E-05	0.000239041	8.50E-05	4.65E-06	2.03E-05	0	0	0	1.48E-05	1.37E-07	0	1.29E-05	0	3.11E-08	8.18E-06	3.88E-06	4.05E-07	8.32E-07	0	0	2.80E-05	1.90E-05	0	0	0	0	2.41E-07	6.15E-07	0	0	0	3.07E-07	4.08E-05	6.00E-06	6.23E-06	0	9.91E-06	0	3.35E-07	1.92E-07	1.43E-06	6.51E-07	0	1.93E-05	3.45E-06	0	5.76E-06	0.000202743	0	7.29E-06	6.31E-05	0.000491867	3.45E-05	8.62E-06	1.11E-05	0	9.79E-05	1.16E-06	9.81E-08	0	3.57E-08	0	1.33E-07	0	0	0	2.09E-08	1.28E-06	4.14E-05	0.000438596	0.000176985	0.00012254	0	1.27E-05	1.15E-07	7.77E-07	0.000235499	4.87E-05	6.19E-05	0	2.31E-07	5.94E-05	8.53E-06	3.22E-07	0	6.75E-05	1.41E-06	2.36E-06	7.10E-08	0	3.25E-07	1.52E-07	0	0	8.78E-07	9.79E-05	5.71E-08	0	0	0	6.92E-06	1.67E-07	0	0	9.38E-06
Geobacillus virus E3	3.74E-05	0	0	0	3.68E-07	0	1.91E-07	5.04E-08	8.98E-06	3.05E-07	2.66E-06	8.25E-07	1.40E-05	5.92E-06	2.52E-06	0	1.76E-05	1.09E-06	2.52E-06	6.14E-07	0	2.68E-05	1.22E-06	0	1.21E-05	0	3.52E-07	0	0	6.06E-06	2.03E-06	0	5.93E-07	4.66E-06	9.44E-07	0	6.25E-07	1.83E-06	0	0	0	2.98E-06	9.20E-07	1.11E-06	2.30E-06	0	3.18E-05	1.34E-06	8.95E-07	4.08E-07	0	3.99E-07	0	0	0	1.00E-06	8.15E-06	1.46E-05	2.53E-06	7.78E-06	0	4.00E-08	0	7.82E-06	0	0	6.34E-07	5.62E-07	0	4.14E-08	1.34E-05	2.28E-06	7.40E-07	0	6.70E-07	0	0	0	0	1.25E-07	0	4.88E-08	4.51E-06	0	9.18E-08	8.46E-07	2.19E-07	3.03E-06	3.29E-05	6.91E-06	1.16E-06	0	0	0	2.55E-06	8.88E-06	0.000287946	1.73E-05	9.71E-06	0	6.22E-08	0	3.23E-08	9.25E-07	0	1.52E-05	2.11E-05	5.09E-06	4.44E-07	6.29E-06	0	2.21E-05	0	4.81E-07	3.08E-07	1.72E-06	0	3.38E-06	6.91E-07	1.02E-05	7.05E-07	2.63E-08	0	9.22E-08	1.70E-05	0	3.60E-08	1.43E-06	5.21E-08	0	2.75E-06	0	1.03E-05	0	8.93E-08	1.06E-05	6.22E-07	1.60E-06	2.23E-08	0	1.76E-07	1.80E-05	0	0	0	2.06E-06	5.70E-07	8.70E-07	5.01E-07	1.33E-07	4.49E-07	0	5.84E-07	2.09E-07	3.83E-06	1.33E-07	6.33E-08	2.76E-06	1.08E-07	3.03E-07	1.21E-06	1.69E-05	7.64E-06	0	3.26E-08	0	1.03E-06	0	1.76E-07	2.72E-07	1.61E-07	0	2.96E-07	1.88E-06	1.54E-07	3.29E-06	3.51E-07	1.08E-06	1.97E-06	5.99E-07	7.22E-08	5.86E-07	3.56E-07	6.86E-07	0	0	0	0	2.50E-07	8.01E-06	4.30E-08	0
