	Gene.symbol	baseMean	logFC	lfcSE	stat	pvalue	adj.P.Val	abundance.1	abundance.2
1	'processing and CCA adding factors	601.27823627291	0.886978401557176	0.295631629263266	3.00028249266692	0.00269729319465175	0.0471076557939179	0.000279046904973121	0.000309088893222782
2	'processing factors	532.238202552229	-0.205488057141259	0.282916593145589	-0.726320272899351	0.467642454118986	0.81906259403376	0.000330108670820632	0.000302363411864819
3	AAA proteases	70.6466191957201	0.106020793737071	0.467518099954028	0.22677366661846	0.820599741268196	0.946987013374623	4.31146758457411e-05	3.24498086370985e-05
4	AauS-AauR (acidic amino acids utilization)	0.721072704555386	-0.0320786879396504	1.87532215540809	-0.0171056945320788	0.986352295998207	NA	1.00280202528084e-06	2.86651608776709e-07
5	ABC transporters	35196.7750744375	0.491093977825751	0.169582787060062	2.89589519278167	0.00378078647683491	0.0616865162009907	0.0174960239569978	0.0203219183514136
6	ABC-2 type and other transporters	2945.90627604066	0.162397598512529	0.14908552602352	1.08929151503889	0.276025353285747	0.708754196496098	0.00162026896341675	0.00174135806896475
7	ABC1 family	0.414778804292153	-0.489747787257949	2.2619585216474	-0.216514928355654	0.828586389978261	NA	4.84580417090059e-07	7.51435764759817e-08
8	ABCA (ABC1) subfamily	0.54992107692158	0.321459973240905	1.65035290154114	0.194782566165527	0.845563171062551	NA	1.25491021154774e-06	8.37242170522841e-07
9	ABCB (MDR/TAP) subfamily	634.972615926932	-0.322640988629815	0.253786712164015	-1.27130764995017	0.203619221892057	0.650741843160183	0.000405438673750585	0.000321841377508902
10	ABCC (CFTR/MRP) subfamily	53.7255851265918	0.577591334786654	0.565030556562241	1.02223026361766	0.30667193028127	0.730813042555643	3.11941368629471e-05	4.53899899479146e-05
11	ABCD (ALD) subfamily	0.999850545493785	0.786936739231869	1.6293675165077	0.482970681113459	0.629116553911757	NA	2.58481362447558e-07	8.45031918604437e-07
12	ABCG (White) subfamily	1.06027247073919	-0.43419185051162	1.81368424999503	-0.239397706912221	0.810797207940348	NA	1.13797390973182e-06	4.5944035825777e-07
13	ABO blood group	0.964429196944175	-0.145966053695067	1.40313938453035	-0.104028192283922	0.917146975736238	NA	7.66648321921062e-07	1.3589073630058e-06
14	Acarbose and validamycin biosynthesis	65.2280179023016	0.242689070172604	0.390108720489798	0.622106242249335	0.533872010649858	0.857018772472656	5.72953621407524e-05	4.12611709968709e-05
15	Accessory factors involved in transport	349.567945033832	-0.237606447478214	0.238950667954738	-0.994374485377965	0.320040585026162	0.736549636199693	0.000207553731658267	0.000193615721894679
16	ACHE	6.6003456485029e-06	-0.372692835873939	2.9442240973119	-0.1265843983188	0.899269345934675	NA	6.96925054393752e-12	0
17	ACP1	0.00376394377077262	-0.424059439086876	2.94414825055797	-0.144034675905505	0.885473087708551	NA	5.06959206141578e-09	0
18	actI1, oxyA, tcmK, snoa1, aknB, mtmP	0.12321978767211	-0.267757001875305	2.94231527478823	-0.0910021452050467	0.92749088650406	NA	7.03031919110605e-08	7.53489940615941e-08
19	actI2, oxyB, tcmL, snoa2, aknC, mtmK	0.0764406989669703	-0.73553223065893	2.9436734572499	-0.249868825921369	0.80268879196511	NA	9.02475531154181e-08	3.54164917450356e-07
20	actI3, oxyC, tcmM, snoa3, aknD, mtmS	3.81889421871169	1.53748239676887	1.03377577065312	1.48724940206088	0.136948952676932	0.57177340511581	4.95286840697071e-06	4.4071238456276e-06
21	actIII, oxyJ, snoaD, aknA	1.60415734989246	-0.372411989734092	1.67694381074875	-0.222077798520758	0.824253320556482	NA	1.5808721842972e-05	7.49540139038404e-06
22	Actin filaments / Microfilaments	3444.07045599973	0.468988488854257	0.29196511723308	1.60631685489968	0.108204308871758	0.512111996186947	0.00144420049158052	0.00154853594721961
23	Actin homologs	168.714205445326	-0.129398280792329	0.293399205066472	-0.441031463473165	0.659190219144656	0.903199858275551	8.77237156372366e-05	9.30337181167468e-05
24	Actin-binding proteins	540.153359559307	-0.0122385575590008	0.210995153702466	-0.0580039747086272	0.953745462499783	0.988833088210477	0.000322934048143574	0.000323694171237497
25	Acting on a heme group of donors	0.196741318282518	0.127828384916714	2.9417719157253	0.0434528537829207	0.965340546231021	NA	9.64427980536705e-08	5.1318232036207e-07
26	Acting on a peroxide as acceptor	1341.44322408138	-0.373714663926301	0.169347306187772	-2.20679426404295	0.0273284359836332	0.235328198747952	0.000906003331014046	0.000658131555507414
27	Acting on a sulfur group of donors	2818.56121098398	-0.0556693626891896	0.189516254011772	-0.293744528560234	0.768953125652806	0.934898511584523	0.00169546312351252	0.00162917096548317
28	Acting on acid anhydrides	13094.1608176551	0.355183687588854	0.170096385365658	2.08813189548567	0.0367859386055188	0.272698450476727	0.00703555831602669	0.007042363931682
29	Acting on carbon-carbon bonds	26.8645756802901	0.329795392546654	0.664375575957713	0.496399031633947	0.61961290815514	0.887205549783342	1.89363678970474e-05	1.87626342465441e-05
30	Acting on carbon-nitrogen bonds, other than peptide bonds	16383.4315374574	0.147061562006831	0.199176556861617	0.738347746964043	0.460303158746785	0.817058731436058	0.00798271420843894	0.00787047580084703
31	Acting on carbon-phosphorus bonds	11.081176776159	-0.26084295412309	0.929305270463877	-0.280685973074151	0.778951268294091	0.939143531399414	1.02300389765424e-05	8.60877822925489e-06
32	Acting on carbon-sulfur bonds	5.94294109585685	1.09694042079663	0.942383529402064	1.16400635895306	0.244421434785602	0.693524144619997	4.93232258798877e-06	9.63922756535914e-06
33	Acting on CH or CH2 groups	1501.7515851354	-0.133904971261666	0.212951701986498	-0.628804419089152	0.529477106597402	0.85680403444879	0.000971281451341653	0.00074851275301488
34	Acting on diphenols and related substances as donors	13.1583752434253	0.380671896095047	0.578980031348081	0.65748709020016	0.510867769244829	0.846976193979167	8.27566252385648e-06	8.8625394031366e-06
35	Acting on ester bonds	21038.856639183	-0.0207061922792108	0.142828091567623	-0.144972827487563	0.884732325637814	0.969111303185061	0.0118535414333597	0.0114736318972838
36	Acting on ether bonds	228.546537616935	-0.24261615947054	0.24019453148369	-1.01008194471327	0.312456031775129	0.731029206417283	0.000275590917724436	0.000143299903936744
