taxonomy	UCS_0001_BAL	UCS_0002_BAL	UCS_0002_UA	UCS_0004_BAL	UCS_0005_BAL	UCS_0006_BAL	UCS_0007_BAL	UCS_0007_UA	UCS_0009_BAL	UCS_0009_UA	UCS_0010_BAL	UCS_0010_UA	UCS_0013_BAL	UCS_0013_UA	UCS_0014_BAL	UCS_0014_UA	UCS_0015_BAL	UCS_0015_UA	UCS_0016_BAL	UCS_0016_UA	UCS_0017_BAL	UCS_0018_BAL	UCS_0018_UA	UCS_0019_BAL	UCS_0020_BAL	UCS_0021_BAL	UCS_0021_UA	UCS_0022_BAL	UCS_0022_UA	UCS_0023_BAL	UCS_0023_UA	UCS_0025_BAL	UCS_0025_UA	UCS_0028_BAL	UCS_0028_UA	UCS_0029_BAL	UCS_0030_BAL	UCS_0030_UA	UCS_0031_BAL	UCS_0032_BAL	UCS_0032_UA	UCS_0033_BAL	UCS_0034_BAL	UCS_0035_BAL	UCS_0036_BAL	UCS_0037_BAL	UCS_0038_BAL	UCS_0038_UA	UCS_0039_BAL	UCS_0039_UA	UCS_0040_BAL	UCS_0040_BKG	UCS_0041_BAL	UCS_0041_UA	UCS_0042_BAL	UCS_0042_UA	UCS_0043_BAL	UCS_0043_UA	UCS_0044_BAL	UCS_0045_BAL	UCS_0046_BAL	UCS_0046_UA	UCS_0047_BAL	UCS_0048_BAL	UCS_0048_UA	UCS_0049_BAL	UCS_0050_BAL	UCS_0050_UA	UCS_0051_BAL	UCS_0051_UA	UCS_0052_BAL	UCS_0053_BAL	UCS_0053_UA	UCS_0054_BAL	UCS_0054_UA	UCS_0055_BAL	UCS_0055_UA	UCS_0056_BAL	UCS_0057_BAL	UCS_0057_UA	UCS_0058_BAL	UCS_0058_UA	UCS_0059_BAL	UCS_0060_BAL	UCS_0060_UA	UCS_0061_BAL	UCS_0061_UA	UCS_0062_BAL	UCS_0063_BAL	UCS_0063_UA	UCS_0064_BAL	UCS_0065_BAL	UCS_0066_BAL	UCS_0069_BAL	UCS_0069_BKG	UCS_0070_BAL	UCS_0070_BKG	UCS_0071_BAL	UCS_0072_BAL	UCS_0073_BAL	UCS_0073_UA	UCS_0074_BAL	UCS_0074_UA	UCS_0075_BAL	UCS_0076_BAL	UCS_0077_BAL	UCS_0077_UA	UCS_0079_BAL	UCS_0079_UA	UCS_0080_BAL	UCS_0081_BAL	UCS_0082_BAL	UCS_0083_BAL	UCS_0083_UA	UCS_0085_BAL	UCS_0085_BKG	UCS_0087_BAL	UCS_0088_BAL	UCS_0088_UA	UCS_0090_BAL	UCS_0093_BAL	UCS_0093_UA	UCS_0094_BAL	UCS_0094_UA	UCS_0095_BAL	UCS_0096_BAL	UCS_0096_UA	UCS_0097_BAL	UCS_0097_UA	UCS_0098_BAL	UCS_0099_BAL	UCS_0099_UA	UCS_0100_BAL	UCS_0101_BAL	UCS_0101_UA	UCS_0103_BAL	UCS_0106_BAL	UCS_0106_UA	UCS_0109_BAL	UCS_0114_BAL	UCS_0115_BAL	UCS_0116_BAL	UCS_0118_BAL	UCS_0123_BAL	UCS_0128_BAL	UCS_0130_BAL	UCS_0130_UA	UCS_0134_UA	UCS_0136_BKG	UCS_0138_BAL	UCS_0144_BAL	UCS_0147_BAL	UCS_0148_BAL	UCS_0148_UA	UCS_0151_BAL	UCS_0153_BAL	UCS_0153_UA	UCS_0154_BAL	UCS_0154_UA	UCS_0156_BAL	UCS_0156_UA	UCS_0158_BAL	UCS_0158_UA	UCS_0159_BAL	UCS_0159_UA	UCS_0160_BAL	UCS_0163_BAL	UCS_0164_BAL	UCS_0164_UA	UCS_0167_UA	UCS_0168_BAL	UCS_0170_BAL	UCS_0170_UA	UCS_0171_BAL	UCS_0172_UA	UCS_0174_BAL	UCS_0174_UA	UCS_0175_BAL	UCS_0175_UA	UCS_0176_BAL	UCS_0177_BAL	UCS_0177_UA	UCS_0180_BAL	UCS_0182_UA	UCS_0185_BAL	UCS_0185_UA	UCS_0190_BAL	UCS_0191_BAL	UCS_0191_UA	UCS_0192_BAL	UCS_0192_UA	UCS_0194_BAL
Human alphaherpesvirus 1	2.49E-05	6.06E-05	9.25E-07	0.481014309	6.80E-06	6.91E-07	2.67E-06	1.06E-06	0.000269326	2.64E-06	7.46E-05	5.04E-07	2.61E-05	2.22E-06	5.55E-05	1.40E-05	0.000102083	1.33E-06	2.02E-05	3.69E-07	0.341034239	6.99E-06	5.56E-07	3.14E-07	0.001809812	0.000104976	2.82E-07	6.20E-05	3.33E-06	1.51E-06	2.54E-06	1.48E-06	3.95E-07	9.32E-06	5.03E-07	0.0005339	5.78E-06	1.83E-06	0.000459678	2.08E-05	1.08E-06	0.000166832	5.52E-05	0.147263978	1.30E-05	2.53E-05	3.43E-05	2.29E-06	9.84E-06	1.15E-06	0.785293433	1.41E-05	2.30E-05	3.40E-07	0.000147943	5.02E-07	0.007241743	0.00013867	0.204967041	0.000287816	0.000166207	3.60E-07	0.000138767	0.071023257	0.001029045	0.001795033	6.98E-06	6.74E-07	5.93E-05	8.28E-07	0.00012475	2.83E-06	9.26E-07	0.000202161	0.003557323	0.000343665	3.73E-06	5.25E-05	7.20E-05	1.19E-06	1.09E-05	3.25E-07	0.002088229	0.012939274	5.82E-05	2.20E-05	3.39E-06	2.21E-05	4.06E-06	8.24E-07	3.49E-05	0.000223695	7.23E-05	2.47E-05	3.69E-06	5.03E-05	6.46E-06	0.000138643	0.674721328	0.247397407	3.11E-07	6.55E-05	0.00041346	0.013182785	0.009549834	0.030349284	1.61E-06	0.43045196	0.001217693	2.52E-05	0.000364285	0.002785515	0.000120371	2.89E-07	8.31E-06	5.60E-06	9.79E-05	3.38E-06	8.45E-07	0.000520249	8.82E-05	5.39E-07	1.71E-06	1.27E-06	0.000262921	5.75E-07	6.60E-07	0.01809894	3.00E-05	0.00010746	4.41E-05	1.03E-06	0.325723736	0.000224573	2.50E-06	6.39E-05	3.56E-07	1.26E-06	3.34E-07	2.50E-06	1.50E-06	2.23E-06	7.02E-07	5.29E-06	1.53E-05	1.96E-07	9.11E-07	6.91E-07	2.50E-06	3.29E-06	5.38E-06	6.32E-05	2.33E-06	1.44E-06	1.40E-05	5.30E-07	2.53E-07	2.76E-06	9.00E-07	0.002750265	0.000415403	5.91E-07	7.01E-07	5.21E-06	2.51E-06	0.000351428	1.85E-05	3.35E-06	4.22E-06	1.63E-06	7.41E-06	1.72E-05	1.48E-06	1.13E-05	1.54E-07	1.63E-06	3.15E-06	3.46E-06	1.74E-06	3.59E-06	2.46E-06	7.32E-07	9.48E-05	1.49E-06	2.97E-06	1.19E-07	0.513611878	0.324626581	0.000431743	3.21E-05	2.58E-07	7.37E-05
African swine fever virus	1.25E-05	0	7.50E-08	1.81E-06	1.84E-07	1.19E-05	1.91E-07	1.01E-07	3.14E-05	6.61E-07	1.86E-05	8.25E-07	5.29E-06	1.97E-06	1.01E-05	6.98E-07	1.10E-06	4.83E-07	8.40E-07	4.51E-07	6.38E-06	1.49E-07	1.59E-06	2.48E-08	1.21E-05	2.10E-05	4.23E-07	1.03E-05	7.68E-07	2.27E-06	7.62E-07	1.06E-06	1.98E-07	0	6.29E-08	1.67E-06	2.50E-06	9.13E-07	2.00E-05	0	0	2.98E-06	3.68E-06	2.22E-06	6.12E-06	1.27E-05	8.36E-06	6.50E-06	8.95E-07	1.48E-07	0	7.98E-07	1.01E-05	3.78E-08	4.00E-06	2.41E-06	1.81E-06	0	2.53E-06	3.89E-06	2.82E-06	1.68E-06	9.91E-06	5.21E-07	9.90E-08	7.57E-06	1.90E-06	0	1.98E-05	1.03E-07	8.91E-06	3.06E-06	1.85E-07	1.00E-05	2.55E-07	0	1.01E-07	4.04E-06	1.20E-05	0	0	1.30E-07	9.02E-06	2.56E-06	0	0	2.19E-06	6.05E-06	3.69E-07	1.03E-07	2.32E-06	2.03E-05	0	0	4.54E-06	8.88E-06	9.62E-07	0	1.29E-05	0	0	8.18E-06	0	1.73E-06	8.32E-07	0	3.57E-08	5.09E-06	7.00E-08	0	1.30E-05	1.11E-05	1.72E-05	9.63E-08	0	1.90E-05	0	3.38E-06	1.15E-06	1.02E-05	5.29E-07	9.19E-08	4.38E-08	6.92E-08	8.48E-06	4.79E-08	1.20E-08	2.86E-06	1.56E-07	2.15E-05	4.13E-06	5.71E-08	5.15E-06	5.76E-06	1.88E-06	0	6.22E-07	1.11E-06	1.11E-07	0	1.32E-07	1.59E-07	1.00E-07	5.29E-06	4.64E-07	7.56E-06	5.01E-06	1.19E-07	7.51E-07	5.32E-07	5.98E-07	2.53E-05	8.75E-07	1.36E-06	2.55E-06	3.98E-07	1.27E-07	7.08E-06	7.02E-07	1.21E-06	2.61E-06	1.01E-07	7.62E-08	2.08E-06	1.30E-07	2.38E-06	3.08E-06	5.78E-07	5.28E-07	6.35E-07	6.45E-07	1.23E-06	6.90E-07	1.41E-06	1.54E-07	4.59E-06	1.23E-06	7.58E-07	1.14E-06	0	1.35E-05	5.86E-07	4.75E-07	1.54E-06	8.43E-06	2.38E-07	4.03E-06	0	4.17E-07	0	1.03E-06	2.68E-06
Gammapapillomavirus sp.	6.23E-06	0	0	0	0	1.15E-07	0	0	4.49E-06	5.09E-08	0	0	2.04E-07	0	0	0	0	0	0	0	2.13E-06	0	0	1.65E-08	2.43E-05	4.20E-05	0	0	0	0	0	0	0	1.16E-06	0	0	3.13E-07	0	2.00E-05	0	0	2.98E-06	0	0	0	0	0	0	0	0	0	0	9.21E-07	0	1.40E-05	0	0	0	0	0	0	0	0	0	0	0	6.34E-07	0	0	0	0	6.67E-07	0	6.48E-07	0	0	0	0	0	0	0	0	9.02E-06	0	0	0	0	5.67E-07	0	1.03E-07	0	1.02E-05	0	0	0	0	0	0	3.24E-06	0	0	1.64E-05	0	1.73E-07	0	7.22E-07	0	0	0	0	0	0	0	4.81E-08	0	0	0	4.82E-07	0	0	0	0	0	0	4.24E-06	4.79E-08	0	1.43E-06	0	0	0	0	5.15E-06	0	0	0	0	0	0	0	2.20E-08	0	0	0	2.32E-07	0	0	0	0	0	0	0	0	2.09E-08	0	0	0	4.32E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	6.14E-07	0	0	0	2.37E-07	0	0	3.79E-08	0	0	0	0	0	0	0	4.03E-06	0	0	0	0	1.34E-06
Betapapillomavirus 3	6.23E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.10E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82E-06	0	0	0	0	0	0	0	0	0	8.91E-06	0	0	0	0	0	0	0	0	0	0	0	4.51E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.24E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.31E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.96E-08	0	0	0	0	0	0	0	0	0
Tanapox virus	0	1.89E-06	5.00E-08	1.81E-06	5.52E-07	3.46E-07	3.81E-07	2.52E-08	4.49E-06	4.07E-07	0	1.83E-07	4.88E-06	7.40E-07	0	0	0	1.21E-07	1.68E-06	4.51E-07	2.13E-06	1.49E-07	3.33E-07	4.14E-08	0	0	0	1.03E-05	2.56E-07	7.57E-07	5.08E-07	1.48E-06	6.59E-08	0	6.29E-08	0	7.82E-07	0	0	0	0	8.94E-06	1.84E-06	1.11E-06	3.83E-07	1.27E-05	5.01E-06	1.91E-07	1.79E-06	1.48E-07	0	3.99E-07	9.21E-07	0	2.00E-06	5.02E-08	4.53E-06	4.49E-08	5.06E-06	2.72E-05	2.82E-06	4.00E-07	0	0	1.19E-07	7.57E-06	3.17E-06	0	9.88E-06	6.21E-07	1.78E-05	2.78E-06	3.70E-07	3.24E-07	1.28E-07	2.22E-05	0	0	0	1.25E-07	1.09E-06	6.51E-08	4.51E-06	2.56E-06	0	8.46E-07	1.09E-07	4.92E-06	1.11E-06	0	0	2.03E-05	7.61E-06	3.53E-07	1.42E-06	8.88E-06	1.24E-06	0	3.24E-06	6.87E-06	1.56E-07	0	0	9.25E-07	8.32E-07	7.22E-07	3.57E-08	5.09E-06	7.00E-08	0	3.90E-05	2.21E-05	5.73E-06	4.33E-07	1.54E-06	1.72E-06	0	1.93E-06	3.07E-07	4.08E-05	8.82E-07	1.31E-07	4.38E-08	3.00E-07	4.24E-06	9.59E-08	3.60E-08	2.86E-06	5.21E-08	0	1.38E-06	1.52E-07	5.15E-06	0	9.82E-07	0	2.67E-07	1.49E-07	8.92E-08	1.93E-07	1.10E-07	7.96E-08	2.00E-07	0	0	1.28E-06	1.14E-07	3.57E-08	1.50E-06	2.26E-06	8.97E-07	6.32E-06	5.84E-07	6.26E-08	2.55E-06	1.33E-07	6.33E-08	3.33E-06	1.44E-07	2.73E-06	4.02E-07	1.87E-07	1.52E-07	1.04E-06	1.63E-07	4.77E-06	2.05E-06	2.31E-07	8.79E-08	9.08E-08	4.83E-07	0	6.90E-07	1.88E-06	5.64E-07	1.70E-06	0	9.74E-07	8.34E-07	0	2.38E-06	5.12E-07	2.38E-07	2.29E-07	5.95E-06	1.78E-07	1.61E-05	0	0	0	1.29E-07	2.68E-06
Human gammaherpesvirus 4	0	0	9.50E-07	0	0	0	0	0	8.98E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	1.85E-07	0	0	0	0	0	0	0	0	0	0	2.82E-06	8.40E-07	0	0	1.98E-08	0	0	0	0	2.07E-08	0	0	0	0	5.42E-06	2.22E-05	0	0	0	6.25E-08	4.35E-06	6.83E-07	0	0	0	0	1.31E-06	8.70E-06	0	0	0	0	0	0	2.84E-07	0	0	0	0	0	0	0	0	5.78E-08	0	0.000119801	2.85E-07	3.56E-05	0	0	0	1.11E-05	0	0	0	0	0	0	0	0	0	1.31E-08	0	0	0	0	0	2.86E-05	0	0.000451331	0	0	0	0	0	0	0	3.71E-08	2.23E-08	0	0	0	0	0	0	8.83E-07	0	0	0	0	0	0	0	3.80E-06	1.28E-06	0	0	0	0	0	0	1.44E-08	0	1.25E-05	5.87E-07	0	1.03E-06	0	0	0	0	0	0	0	5.13E-08	0	0	0	0	0	0	0	0	0	9.92E-07	0	0	6.92E-06	0	4.01E-06	0	1.34E-06
Gallid alphaherpesvirus 2	0	0	2.50E-08	0	0	0	0	0	0	0	0	4.58E-08	2.04E-07	1.23E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.29E-08	0	0	0	2.00E-05	0	0	0	0	2.22E-06	0	0	1.67E-06	0	0	0	0	0	0	3.78E-08	0	0	0	0	0	0	5.63E-06	0	0	0	2.97E-07	0	0	0	0	0	0	1.11E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89E-07	0	0	0	0	0	0	0	0	0	0	3.24E-06	0	0	0	0	2.31E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.68E-07	0	0	0	0	0	0	2.32E-07	0	1.14E-07	0	0	0	0	0	1.46E-07	0	0	0	0	6.05E-07	1.26E-07	0	0	1.44E-08	1.52E-08	0	3.26E-08	0	0	1.16E-07	0	0	0	0	0	0	0	1.89E-07	0	0	0	0	0	6.59E-07	3.96E-08	0	0	0	0	0	0	0	4.30E-08	0
Monkeypox virus	0	0	2.50E-08	3.62E-06	0	0	0	5.04E-08	0	0	0	0	4.07E-07	0	0	0	1.10E-06	0	0	0	2.13E-06	0	7.41E-08	0	1.21E-05	0	0	0	0	0	0	0	6.59E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.55E-07	0	0	0	0	0	0	0	0	0	1.35E-07	0	0	0	0	0	0	1.98E-08	7.57E-06	1.27E-06	0	0	0	0	2.22E-07	1.85E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89E-07	0	0	0	0	0	0	2.84E-07	0	0	0	0	0	0	0	3.23E-08	1.16E-07	0	0	0	0	0	0	0	0	0	4.81E-08	0	0	0	0	0	1.02E-05	0	2.63E-08	0	2.31E-08	4.24E-06	0	2.40E-08	1.43E-06	0	0	0	0	0	0	4.47E-07	0	0	0	4.46E-08	0	0	0	0	0	0	3.93E-07	0	0	0	0	0	0	1.46E-07	0	0	0	0	4.32E-08	0	0	0	0	1.52E-08	0	6.52E-08	0	0	0	8.79E-08	9.08E-08	1.61E-07	6.14E-06	0	4.70E-07	0	9.46E-08	0	3.25E-06	0	0	0	0	0	0	4.96E-07	0	0	0	0	0	8.59E-08	0
Torque teno virus 29	0	0	2.50E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.27E-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.90E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human alphaherpesvirus 2	0	0	0	0.000153958	0	0	0	0	0	1.02E-07	0	0	0	0	0	0	0	0	0	0	5.11E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.34E-05	0	0	0	0	0	0	0.000374108	1.33E-07	0	0	0	0	9.06E-07	1.35E-07	0.000276031	0	0	0	0	1.72E-05	1.39E-07	7.57E-06	6.34E-07	1.46E-06	0	0	0	0	0	0	1.28E-07	0	0	0	0	0	0	0	4.51E-06	1.28E-05	9.18E-08	0	0	0	0	0	0	0	0	0	2.84E-07	0	6.87E-08	0	0.001711669	0.000164808	0	0.000474585	0	8.38E-06	1.66E-06	9.38E-06	0	0.000244385	5.14E-07	0	0	1.11E-05	0	0	0	0	0	0	0	0	0	1.31E-08	0	0	0	0	0	2.43E-05	0	0	0	0	0.000211235	0	0	0	0	0	0	0	2.20E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03E-07	2.21E-06	0	0	0	0	0	0	0	0	0	1.61E-07	0	0	0	0	0	0	1.08E-07	0	0	0	7.32E-08	0	0	0	5.94E-08	0.000265715	0.000173119	0	4.01E-06	0	0
