	Gene.symbol	baseMean	logFC	lfcSE	stat	pvalue	adj.P.Val	abundance.1	abundance.2
1	'processing and CCA adding factors	732.011736414691	-0.428204684505215	0.341152124084072	-1.25517226561277	0.209416231269451	0.751434712202147	0.000309088893222782	0.000291011905083623
2	'processing factors	582.931794043315	0.288000666220898	0.307641279391518	0.936157419415668	0.349192143029507	0.831477973824705	0.000302363411864819	0.000346568930252747
3	AAA proteases	59.5615456878596	-1.67304713021607	0.516169885998622	-3.24127225473307	0.00118997475719133	0.158374822229829	3.24498086370985e-05	1.34514589770127e-05
4	AauS-AauR (acidic amino acids utilization)	0.596670975118388	0.427704677813523	1.89634470987275	0.22554163047826	0.82155794308891	0.943433330092431	2.86651608776709e-07	3.58237600814082e-07
5	ABC transporters	41124.5427326907	-0.217425749946556	0.203199212006791	-1.07001276136489	0.284613564607184	0.778526272397901	0.0203219183514136	0.0182859501539625
6	ABC-2 type and other transporters	3441.42822798732	0.142900207655243	0.17427269899239	0.819980458680349	0.412227247234066	0.86111749285061	0.00174135806896475	0.00169623142077425
7	ABC1 family	0.205553916654376	0.183938654435913	2.76275883826872	0.0665778901466395	0.946917747790195	0.982226156146037	7.51435764759817e-08	1.89018046588113e-07
8	ABCA (ABC1) subfamily	2.76157712028604	1.68107202800201	1.37083739736349	1.22631030582853	0.220081924578393	0.757575841013844	8.37242170522841e-07	3.91278778068117e-06
9	ABCB (MDR/TAP) subfamily	589.730089937513	-0.212590436972252	0.254220645389852	-0.836243793836024	0.403017765886008	0.857584315780691	0.000321841377508902	0.000285479079567235
10	ABCC (CFTR/MRP) subfamily	43.6148801022056	-0.352901678541779	0.575179767936467	-0.613550229361962	0.539512581045732	0.895517481463664	4.53899899479146e-05	2.49557541207539e-05
11	ABCD (ALD) subfamily	1.02926081471976	-2.78702308699041	1.95446211087817	-1.4259795938117	0.153874232453622	0.708166109344235	8.45031918604437e-07	4.22550085687045e-08
12	ABCG (White) subfamily	0.583235651162408	-1.06433800343435	2.60262243732748	-0.408948293140542	0.682577607340847	0.921736141158278	4.5944035825777e-07	2.01901331896146e-07
13	ABO blood group	0.920009976124775	-0.710336970485284	1.81182808378724	-0.392055392474364	0.695017286002457	0.921736141158278	1.3589073630058e-06	1.34293488489025e-06
14	Acarbose and validamycin biosynthesis	73.5876349546175	-0.119431915550646	0.407686386073054	-0.29295046297976	0.769560016104376	0.934285844981637	4.12611709968709e-05	3.75511778941966e-05
15	Accessory factors involved in transport	333.269896911574	-0.250514742983137	0.226585035212569	-1.10561027451843	0.268895240759552	0.771369798153739	0.000193615721894679	0.000157041573286123
16	ACHE	0	NA	NA	NA	NA	NA	0	0
17	ACP1	0.0632779863672473	0.0689662257207319	3.05154046056188	0.0226004624916666	0.981968974907846	0.990766767239894	0	8.34836786069468e-08
18	actI1, oxyA, tcmK, snoa1, aknB, mtmP	0.113617055062562	-1.09863536386336	3.05209050838753	-0.359961593813868	0.718875854723176	0.923703638987935	7.53489940615941e-08	6.61668510957363e-09
19	actI2, oxyB, tcmL, snoa2, aknC, mtmK	0	0	0	0	1	NA	3.54164917450356e-07	0
20	actI3, oxyC, tcmM, snoa3, aknD, mtmS	5.03664766054216	-0.787722691981781	1.01981723712434	-0.772415549871447	0.439868346964686	0.867880404253774	4.4071238456276e-06	2.37923653750995e-06
21	actIII, oxyJ, snoaD, aknA	1.31100940568279	-1.07625739220217	1.86792698978714	-0.576177440599439	0.564495251928623	0.910164062052919	7.49540139038404e-06	8.8539513046081e-07
22	Actin filaments / Microfilaments	4076.70653216767	-0.0249481871095436	0.324154063734258	-0.0769639807138007	0.938652199169885	0.982226156146037	0.00154853594721961	0.00167854228091068
23	Actin homologs	198.114388633588	0.440747706963252	0.328024275368397	1.3436435656119	0.179063674556151	0.73165240452483	9.30337181167468e-05	0.000103140500938809
24	Actin-binding proteins	718.722050249381	-0.247307082944965	0.283007866427361	-0.873852328088701	0.382198678978031	0.842097049046111	0.000323694171237497	0.00032292232351783
25	Acting on a heme group of donors	0.163890879008302	-1.94010363336362	3.05273456242152	-0.635529750029975	0.525082970094082	0.890990799525814	5.1318232036207e-07	0
26	Acting on a peroxide as acceptor	1295.95010636634	0.0581961583346658	0.174760350756122	0.333005502008168	0.739130129966397	0.928033027676505	0.000658131555507414	0.000699979371203847
27	Acting on a sulfur group of donors	2761.44590279497	-0.324180492562464	0.185724000671383	-1.7454959584683	0.0808985753489928	0.626691922805887	0.00162917096548317	0.00131662671558169
28	Acting on acid anhydrides	16595.9730331972	0.247548106875217	0.220921390498448	1.12052575043409	0.26248978565263	0.771105763283078	0.007042363931682	0.00772627916463042
29	Acting on carbon-carbon bonds	26.5346036634541	-0.908290189057038	0.655944577790518	-1.3847056897955	0.166142478580324	0.71460825171693	1.87626342465441e-05	1.16455112169982e-05
30	Acting on carbon-nitrogen bonds, other than peptide bonds	18099.2902500469	-0.0292375224012806	0.213601659977835	-0.136878722779189	0.891126657284177	0.967204030373236	0.00787047580084703	0.00756256720072145
31	Acting on carbon-phosphorus bonds	11.3698667867172	-1.93166491372006	0.991171999032029	-1.94886953586916	0.0513110069889721	0.580094132128505	8.60877822925489e-06	6.86534537114667e-06
32	Acting on carbon-sulfur bonds	7.59899761858982	-0.586773417059485	0.932432857976363	-0.629292942692888	0.52915729076416	0.890990799525814	9.63922756535914e-06	6.23355115354434e-06
33	Acting on CH or CH2 groups	1545.23486772986	0.0275123053762478	0.228781439759772	0.120255845077016	0.904280480727562	0.969397774577971	0.00074851275301488	0.00081902505563271
34	Acting on diphenols and related substances as donors	14.3366309329221	-0.361682345619192	0.663315706369846	-0.545264256742216	0.585571783396064	0.910164062052919	8.8625394031366e-06	6.47184982764977e-06
35	Acting on ester bonds	28715.346255013	0.0526605191345953	0.229025376005708	0.229933119434254	0.818143740138856	0.943096155988724	0.0114736318972838	0.0129084700050978
