taxonomy	UCS_0001_BAL	UCS_0002_BAL	UCS_0002_UA	UCS_0004_BAL	UCS_0005_BAL	UCS_0006_BAL	UCS_0007_BAL	UCS_0007_UA	UCS_0009_BAL	UCS_0009_UA	UCS_0010_BAL	UCS_0010_UA	UCS_0013_BAL	UCS_0013_UA	UCS_0014_BAL	UCS_0014_UA	UCS_0015_BAL	UCS_0015_UA	UCS_0016_BAL	UCS_0016_UA	UCS_0017_BAL	UCS_0018_BAL	UCS_0018_UA	UCS_0019_BAL	UCS_0020_BAL	UCS_0021_BAL	UCS_0021_UA	UCS_0022_BAL	UCS_0022_UA	UCS_0023_BAL	UCS_0023_UA	UCS_0025_BAL	UCS_0025_UA	UCS_0028_BAL	UCS_0028_UA	UCS_0029_BAL	UCS_0030_BAL	UCS_0030_UA	UCS_0031_BAL	UCS_0032_BAL	UCS_0032_UA	UCS_0033_BAL	UCS_0034_BAL	UCS_0035_BAL	UCS_0036_BAL	UCS_0037_BAL	UCS_0038_BAL	UCS_0038_UA	UCS_0039_BAL	UCS_0039_UA	UCS_0040_BAL	UCS_0040_BKG	UCS_0041_BAL	UCS_0041_UA	UCS_0042_BAL	UCS_0042_UA	UCS_0043_BAL	UCS_0043_UA	UCS_0044_BAL	UCS_0045_BAL	UCS_0046_BAL	UCS_0046_UA	UCS_0047_BAL	UCS_0048_BAL	UCS_0048_UA	UCS_0049_BAL	UCS_0050_BAL	UCS_0050_UA	UCS_0051_BAL	UCS_0051_UA	UCS_0052_BAL	UCS_0053_BAL	UCS_0053_UA	UCS_0054_BAL	UCS_0054_UA	UCS_0055_BAL	UCS_0055_UA	UCS_0056_BAL	UCS_0057_BAL	UCS_0057_UA	UCS_0058_BAL	UCS_0058_UA	UCS_0059_BAL	UCS_0060_BAL	UCS_0060_UA	UCS_0061_BAL	UCS_0061_UA	UCS_0062_BAL	UCS_0063_BAL	UCS_0063_UA	UCS_0064_BAL	UCS_0065_BAL	UCS_0066_BAL	UCS_0069_BAL	UCS_0069_BKG	UCS_0070_BAL	UCS_0070_BKG	UCS_0071_BAL	UCS_0072_BAL	UCS_0073_BAL	UCS_0073_UA	UCS_0074_BAL	UCS_0074_UA	UCS_0075_BAL	UCS_0076_BAL	UCS_0077_BAL	UCS_0077_UA	UCS_0079_BAL	UCS_0079_UA	UCS_0080_BAL	UCS_0081_BAL	UCS_0082_BAL	UCS_0083_BAL	UCS_0083_UA	UCS_0085_BAL	UCS_0085_BKG	UCS_0087_BAL	UCS_0088_BAL	UCS_0088_UA	UCS_0090_BAL	UCS_0093_BAL	UCS_0093_UA	UCS_0094_BAL	UCS_0094_UA	UCS_0095_BAL	UCS_0096_BAL	UCS_0096_UA	UCS_0097_BAL	UCS_0097_UA	UCS_0098_BAL	UCS_0099_BAL	UCS_0099_UA	UCS_0100_BAL	UCS_0101_BAL	UCS_0101_UA	UCS_0103_BAL	UCS_0106_BAL	UCS_0106_UA	UCS_0109_BAL	UCS_0114_BAL	UCS_0115_BAL	UCS_0116_BAL	UCS_0118_BAL	UCS_0123_BAL	UCS_0128_BAL	UCS_0130_BAL	UCS_0130_UA	UCS_0134_UA	UCS_0136_BKG	UCS_0138_BAL	UCS_0144_BAL	UCS_0147_BAL	UCS_0148_BAL	UCS_0148_UA	UCS_0151_BAL	UCS_0153_BAL	UCS_0153_UA	UCS_0154_BAL	UCS_0154_UA	UCS_0156_BAL	UCS_0156_UA	UCS_0158_BAL	UCS_0158_UA	UCS_0159_BAL	UCS_0159_UA	UCS_0160_BAL	UCS_0163_BAL	UCS_0164_BAL	UCS_0164_UA	UCS_0167_UA	UCS_0168_BAL	UCS_0170_BAL	UCS_0170_UA	UCS_0171_BAL	UCS_0172_UA	UCS_0174_BAL	UCS_0174_UA	UCS_0175_BAL	UCS_0175_UA	UCS_0176_BAL	UCS_0177_BAL	UCS_0177_UA	UCS_0180_BAL	UCS_0182_UA	UCS_0185_BAL	UCS_0185_UA	UCS_0190_BAL	UCS_0191_BAL	UCS_0191_UA	UCS_0192_BAL	UCS_0192_UA	UCS_0194_BAL
Proteus phage VB_PmiS-Isfahan	4541	85400	23958	35879	9642	10681	30396	2065	26038	2078	7760	594	10440	614	12526	1352	38281	3196	9810	254	27451	4792	3264	11062	6374	15322	11859	9016	2129	30112	1266	46776	7088	2478	381	6075	10041	679	4462	90184	1291	21718	7991	34423	26278	18110	41727	665	25100	676	16837	620	16432	142	11245	494	11269	901	5106	32838	24000	21087	11513	15951	14713	33844	3426	275	10973	47165	16062	9152	287	7155	36148	10940	2404	21801	14092	7629	19560	19248	15222	38807	1026	11614	2324	153584	15076	988	8980	10721	14324	6274	38	20939	175	9241	6692	8920	562	4632	14271	233108	6095	20447	1866	15954	26571	23559	6928	11069	10964	5376	16053	117	4886	32112	3497	33749	23772	23274	14331	2368	14463	7388	1128	30092	8397	6495	6640	345	23107	23527	9292	24480	4430	2312	9341	29700	14293	24923	29245	16068	54028	3384	2448	1198	80	42590	38122	94159	8251	17520	39462	22931	1134	39727	1214	4835	1205	25272	1569	22048	1822	26289	20953	29523	48282	479	22250	24007	1837	18340	306	6934	1006	30577	14933	2996	29700	2523	44635	25442	22417	140	11506	2583	2541	3802	13834	5792
Escherichia virus DE3	396	30	11	25	32	105	23	19	312	30	71	3	28	12	99	2	12	7	44	3	30	35	9	10	12	3	23	33	8	11	14	13	265	7	10	5	10	6	18	9	6	27	9	10	60	36	41	3	29	19	30	27355	14	0	6	2	10	0	12	23	19	9	15	26	10	93	18	0	30	125	65	19	5	9	375	36	15	47	32	8	5	247	59	54	7	105	67	1437	8	2	9	1	60	43	6161	58	19413	17	19	8	6	0	25	525	7	54	8	128	31	29	34	20	15	49	27	2265	6	465	7	31	104	60	23	8	8	22	11	80	29	7	4	5	109	264	104	72	55	24	64	1261	1394	96	370	414	122	10	7	87	15294	4599	641	186	2592	68	474	340	8	91	29	1857	10	85	7	87	8	440	1056	372	403	4	1002	236	13	1982	12	47	2	860	25	9	266	29	1662	47	73	2	71	10	10	114	50	3
Staphylococcus phage StB20-like	124	79	13535	4	2564	8	2504	28419	34	13834	22	39	253	407	65	136	33	13	320	8776	41	104	12846	11	36	0	1704	12	410	159	6	1654	6990	177	3471	48	24	3	10	49	182	58	118	52	8	5	92	1389	7	6076	34	76	1700	42976	52	870	4	51	172	39	90	16411	22	1095	28439	12	11	153	6	5538	857	426	289	26	3096	14	62	77	27	6737	830	68091	18	23	9	9	558	173	1158	1507	8	21	17	2	4	41	41	7	13	4	14626	17	16533	85	20	21	443	114	51696	1	23	15	32	6400	379	1	5	35	500	12	37901	519584	19	22361	28	7390	17777	21	795	8	267	34714	6	4	3405	0	344	1704	48878	1184	453	514	119	380	1253	3	0	97	6	5722	273	0	2	439	1	732	16440	6222	17349	355	409	1662	28614	918	15410	147	403	18	4521	611	83	179	3929	14	1258	552	751	74	4876	9	2930	2230	305	2	616	10017	24	25	5110	74	10644	64
Streptococcus phage phiBHN167	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	6	29	0	0	11	0	0	0	0	0	0	4	5	3	0	1	149	0	0	0	0	3	6	0	0	0	0	0	2	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	434	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	83	136	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus phage SMP	57	1	4	0	0	1	0	6	1	101	1	781	71	147	0	1	16	81	66	2023	0	34	1469	0	0	0	0	1	0	313	4149	38	104	51	2102	0	3	0	0	21	51	0	0	52	0	0	301	1602	0	9	5	0	0	2	0	3	0	3	3	0	1	0	0	0	17	2	2	1	0	2	0	3131	611	0	0	0	1	0	0	0	0	2	0	1	1	0	1	10	0	2	0	0	0	1	0	90	6	5	0	4	1908	18	0	8	0	0	0	0	6	1	0	0	1	0	0	0	0	191	3185	1	0	2	2	3	0	0	0	1	0	0	0	1	0	0	34	0	332	2971	0	0	0	0	0	0	586	1	0	17	0	0	0	1	0	2709	0	98	3622	0	4	0	2	1	0	0	1	1	0	0	0	560	0	68	91	0	1689	0	0	0	7	23	460	134	2	1	1	2	0	0	1	0	0	0
Streptococcus phage PH10	19	0	0	0	0	0	0	0	2	14	0	1636	8	5	0	2	3	89	36	214	0	0	190	2	0	0	0	0	32	34	137	0	0	4	249	1	273	86	0	404	660	3	0	2	0	0	33	226	1	3	1	0	1	0	0	0	0	2	0	0	1	1	2	1	0	2	195	1322	0	0	2	505	193	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	18	2	1	1	1	38	0	0	6	2	0	1	0	0	0	1	2	0	1	1	0	0	212	3102	1	1	0	0	0	0	2	0	0	0	0	4	1	0	0	1	0	3251	14369	2	2491	1	0	0	1	2	2	1	0	0	0	2	0	0	2	0	137	243	596	256	0	3	1	1	0	2	0	9	1	0	10	0	729	2562	0	11	18	2	437	1244	11	2	10	0	0	15	1	2	0	1	0	0	0
Streptococcus phage phiARI0468-2	14	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	6	0	0	94	0	0	0	0	0	0	0	0	0	0	9	0	0	0	10	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	591	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	173	0	0	0	0	0	0	0	16	64	0	0	1	0	0	0	1	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
Staphylococcus phage IME-SA4	10	0	1	0	0	0	5	1	1	4	0	98	32	6	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	5	0	0	0	76	53	0	2	0	0	0	4	1	0	2	0	0	0	2	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	57	2333	0	3	67	2	216	2	67	50	0	4	2	0	0	0	7	28	1372	0	0	0	0	2	0	82	103	0	0	1	0	0	0	1	0	1	0	0	0	0	3	0	0	0	1	23	0	0	0	0	1	1	0	0	0	49	0	1	6	0	86	0	0	0	0	27	0	1	27	0	0	754	0	1	87	1823	6	0	0	10	18	0	0	0	5	0	0	0	0	0	0	0	130	242	37	456	0	26	8	1	115	539	0	0	0	85	5	1	0	60	0	11	55	6	0	4	0	0	0	0	0	0	9	0	0	1	0	0	2
Staphylococcus phage StB20	7	64	485	0	9	0	0	10	9	14	1	23	255	250	1	6	2	0	2	0	0	0	0	0	0	0	97	0	18	14	0	0	0	31	582	3	1	0	1	3	0	0	2	3	0	0	40	235	0	0	2	11	1	132	0	1	0	8	3	3	0	0	1	181	1718	0	0	31	0	2047	4	376	214	3	151	1	1	0	0	78	222	17053	1	2	0	0	5	198	647	825	4	2	0	0	0	5	2	0	4	0	1	1	120	7	1	0	0	11	814	0	0	0	0	5	2	0	0	0	4	4	34	474	0	430	0	7	16	1	25	0	14	181	0	1	2270	0	82	1699	22065	179	391	139	0	74	5	1	0	3	0	4	0	0	0	1	1	312	6933	4098	6806	0	63	8	51	226	1493	52	0	2	675	94	2	0	685	3	46	3	0	3	4	0	0	12	2473	1	0	0	0	1	2	0	0	7
Geobacillus virus E3	6	0	0	0	2	0	1	2	2	6	1	18	69	48	1	0	16	9	3	15	0	180	33	0	1	0	5	0	0	8	8	0	9	4	15	0	4	2	0	0	0	1	1	1	6	0	38	7	1	11	0	3	0	0	0	20	9	325	1	2	0	1	0	30	0	0	1	5	0	2	3	41	4	0	21	0	0	0	0	2	0	3	1	0	1	1	2	16	89	67	1	0	0	0	9	3	4189	1	3	0	2	0	1	16	0	21	1183	2	19	1	0	2	0	10	1	4	0	7	9	1	4	2	0	4	4	0	3	1	2	0	2	0	2	0	1	1	7	43	1	0	8	226	0	0	0	21	10	73	2	4	3	0	4	10	3	1	1	64	6	1	6	1172	501	0	1	0	1	0	2	3	1	0	3	4	3	139	2	10	52	1	1	8	9	12	0	0	0	0	3	2	1	0
