	Gene.symbol	baseMean	logFC	lfcSE	stat	pvalue	adj.P.Val	abundance.1	abundance.2
1	Streptococcus mitis	1632.94199185764	0.914785182164318	0.506386746757491	1.80649511074667	0.0708410371656132	0.337248061981045	0.00592463244736842	0.00520414594230769
2	Streptococcus oralis	1440.95516061167	-0.507028669254325	0.487542258255345	-1.0399686604987	0.298354461043805	0.636601233246452	0.00386059294736842	0.0100982878076923
3	Streptococcus anginosus	1582.38017233801	-1.03323804020362	0.40931152792882	-2.52433163911108	0.0115918515093635	0.118958798760529	0.00921965957894737	0.00687654486538462
4	Streptococcus intermedius	1495.71577633181	-1.90390816801529	0.471299466480268	-4.03969939162875	5.35197525440897e-05	0.0038651704215378	0.0106219435	0.00206904396153846
5	Streptococcus constellatus	871.451490297751	-1.91452882362021	0.632388297672113	-3.02745770386294	0.00246620224488212	0.0480422687308945	0.00102222023684211	0.000317550538461538
6	Streptococcus pneumoniae	1590.99911635191	-1.21804446677793	0.533236158504963	-2.28424957188381	0.0223568677202141	0.182869296462857	0.00169084871052632	0.00161482936538462
7	Streptococcus sp. ChDC B345	463.682017135453	-1.11959716314533	0.577591868628133	-1.93838802787259	0.0525758999500462	0.29126107098398	0.000550586552631579	0.000605716653846154
8	Streptococcus sp. oral taxon 431	358.102986577436	0.21509884739091	0.454259461975327	0.473515392404953	0.635845522053981	0.854625828753589	0.000458424526315789	0.00446765219230769
9	Streptococcus milleri	1887.11770988103	-0.649786919235467	0.563720319175729	-1.15267606494225	0.249043369182922	0.592411857801425	0.00497622742105263	0.00276785107692308
10	Streptococcus pseudopneumoniae	210.422466509364	0.329323622833992	0.549793245800343	0.598995395722969	0.549175954930692	0.815252860835439	0.000494211078947368	0.000376029884615385
11	Streptococcus sp. NPS 308	221.361647476502	0.704517196560324	0.521910974051822	1.34988002089868	0.177054471286608	0.51556453823368	0.000417955078947368	0.000659294019230769
12	Streptococcus pyogenes	2121.2214784151	-0.567021217571098	0.335223855291894	-1.69147036709953	0.0907470027486637	0.378987129955985	0.00526141447368421	0.00270826053846154
13	Streptococcus gordonii	451.171772557908	-1.54833781129405	0.497962967665883	-3.10934328822005	0.00187503722673809	0.0390840542918943	0.0005134975	0.000324023076923077
14	Streptococcus sp. oral taxon 064	77.0279237583424	-0.0839285518841885	0.499867328856881	-0.167901655177425	0.866660647972351	0.952870328294786	0.000364026810526316	0.000404605365384615
15	Streptococcus sp. KCOM 2412	202.675284950961	-0.650947160650943	0.50560837764912	-1.28745327298094	0.197936346278239	0.537447587597807	0.000648057315789474	0.000473428211538462
16	Streptococcus sp. A12	91.8360307289764	0.317397965574269	0.553789419918411	0.573138370214858	0.56655100905124	0.820137273730468	6.67901578947368e-05	0.000570786673076923
17	Streptococcus sp. HSISM1	149.947926717984	0.476872689495659	0.451920276627758	1.05521419187937	0.291327374916248	0.631699578766277	0.000355912131578947	0.000468602711538462
18	Streptococcus equinus	26.6140520544179	-0.207087262558096	0.471750687801253	-0.438976069167579	0.660678876416689	0.862321078492841	2.90635e-05	5.64189038461538e-05
19	Streptococcus parasanguinis	370.949946207993	-0.416941235513195	0.518782310890424	-0.803692081940048	0.421574828144773	0.733211349511737	0.000387938184210526	0.000472707634615385
20	Streptococcus sp. HSISS2	52.3025253818089	-0.437196800844075	0.65891924867521	-0.663505887440807	0.507006610096053	0.789553573888732	4.18074605263158e-05	7.61624615384615e-05
21	Streptococcus australis	99.0544663675225	-0.493252057188352	0.580504776301222	-0.849695088352564	0.39549462987172	0.715369333567601	5.74323e-05	0.000212368509615385
22	Streptococcus suis	226.74123520388	-1.19647951453421	0.466841776928562	-2.56292297233137	0.0103795073326341	0.115107570082133	0.000153889763157895	0.00017665625
23	Streptococcus sanguinis	372.860111459371	-1.69552598127851	0.518275852861664	-3.27147400735854	0.00106988422856088	0.028799338188807	0.000480681868421053	0.000217240634615385
24	Streptococcus cristatus	313.68044105013	-1.22233793438945	0.511668347817712	-2.38892622458039	0.0168976951838402	0.151160348759368	0.000312321289473684	0.000291317211538462
25	Streptococcus mutans	141.077441661598	-1.73479668055682	0.472852613353246	-3.66878945271016	0.000243701672651637	0.0106117743047279	0.000108567815789474	0.000111708730769231
26	Streptococcus sp. Z15	30.4438611941493	-0.560963767430855	0.565985005281512	-0.991128320001765	0.321622926005071	0.658137291620991	1.71245815789474e-05	3.41484519230769e-05
27	Streptococcus viridans	44.1505008393158	0.876306570439983	0.522115085842119	1.67837818558065	0.0932732934318815	0.385401577945336	3.72763815789474e-05	0.000193688076923077
28	Streptococcus ruminantium	56.0966737694853	-1.11337271848548	0.57812566770043	-1.92583166721185	0.0541253959743992	0.295214095549459	4.11745552631579e-05	4.41928653846154e-05
29	Streptococcus acidominimus	19.2178923879482	-0.472661015097888	0.465482476828949	-1.01542171537335	0.309904846033734	0.646270182982272	2.90299421052632e-05	3.04600576923077e-05
30	Streptococcus agalactiae	175.247625147037	-1.06601693139738	0.518070426830051	-2.05766798525846	0.0396220155940591	0.252302770266686	0.000117000657894737	9.99998461538462e-05
31	Streptococcus pluranimalium	63.7023709667541	-1.69651779474055	0.510179990996476	-3.3253318920386	0.000883133391309876	0.0258906729868172	3.9541947368421e-05	4.19359769230769e-05
32	Streptococcus sp. JS71	50.8429847003018	-0.321368395465817	0.585619998613485	-0.548766087610891	0.583165985949868	0.830204833127156	4.00412921052632e-05	0.000183649634615385
33	Streptococcus merionis	47.1854784920221	-0.415677850226413	0.529106334483309	-0.785622516941396	0.432088668867203	0.742119807723776	3.35854210526316e-05	5.23896826923077e-05
34	Streptococcus himalayensis	54.2085045241821	-1.12887840113575	0.533508940025871	-2.11595029894158	0.0343490348544792	0.234349060378141	8.36511342105263e-05	6.01656115384615e-05
35	Streptococcus iniae	61.5106945725784	-1.57402186337194	0.376279885903326	-4.18311454409321	2.87542422231624e-05	0.00266066597571199	9.96818684210526e-05	5.273325e-05
36	Streptococcus pantholopis	18.7166842825708	-0.585994907199198	0.515895062547499	-1.13588004565414	0.256006770576834	0.600005618600445	2.24511868421053e-05	2.92808269230769e-05
37	Streptococcus pseudoporcinus	44.6935415367686	-0.631289080100861	0.557966660174137	-1.13141003783961	0.257882548566634	0.600823991756957	4.03885263157895e-05	5.76007076923077e-05
38	Streptococcus sp. I-P16	27.5052951254023	-0.199942288323704	0.667249863224295	-0.299651299076391	0.764443150096348	0.914526050002091	2.19430657894737e-05	6.42085192307692e-05
