taxonomy	UCS_0001_BAL	UCS_0002_BAL	UCS_0002_UA	UCS_0004_BAL	UCS_0005_BAL	UCS_0006_BAL	UCS_0007_BAL	UCS_0007_UA	UCS_0009_BAL	UCS_0009_UA	UCS_0010_BAL	UCS_0010_UA	UCS_0013_BAL	UCS_0013_UA	UCS_0014_BAL	UCS_0014_UA	UCS_0015_BAL	UCS_0015_UA	UCS_0016_BAL	UCS_0016_UA	UCS_0017_BAL	UCS_0018_BAL	UCS_0018_UA	UCS_0019_BAL	UCS_0020_BAL	UCS_0021_BAL	UCS_0021_UA	UCS_0022_BAL	UCS_0022_UA	UCS_0023_BAL	UCS_0023_UA	UCS_0025_BAL	UCS_0025_UA	UCS_0028_BAL	UCS_0028_UA	UCS_0029_BAL	UCS_0030_BAL	UCS_0030_UA	UCS_0031_BAL	UCS_0032_BAL	UCS_0032_UA	UCS_0033_BAL	UCS_0034_BAL	UCS_0035_BAL	UCS_0036_BAL	UCS_0037_BAL	UCS_0038_BAL	UCS_0038_UA	UCS_0039_BAL	UCS_0039_UA	UCS_0040_BAL	UCS_0040_BKG	UCS_0041_BAL	UCS_0041_UA	UCS_0042_BAL	UCS_0042_UA	UCS_0043_BAL	UCS_0043_UA	UCS_0044_BAL	UCS_0045_BAL	UCS_0046_BAL	UCS_0046_UA	UCS_0047_BAL	UCS_0048_BAL	UCS_0048_UA	UCS_0049_BAL	UCS_0050_BAL	UCS_0050_UA	UCS_0051_BAL	UCS_0051_UA	UCS_0052_BAL	UCS_0053_BAL	UCS_0053_UA	UCS_0054_BAL	UCS_0054_UA	UCS_0055_BAL	UCS_0055_UA	UCS_0056_BAL	UCS_0057_BAL	UCS_0057_UA	UCS_0058_BAL	UCS_0058_UA	UCS_0059_BAL	UCS_0060_BAL	UCS_0060_UA	UCS_0061_BAL	UCS_0061_UA	UCS_0062_BAL	UCS_0063_BAL	UCS_0063_UA	UCS_0064_BAL	UCS_0065_BAL	UCS_0066_BAL	UCS_0069_BAL	UCS_0069_BKG	UCS_0070_BAL	UCS_0070_BKG	UCS_0071_BAL	UCS_0072_BAL	UCS_0073_BAL	UCS_0073_UA	UCS_0074_BAL	UCS_0074_UA	UCS_0075_BAL	UCS_0076_BAL	UCS_0077_BAL	UCS_0077_UA	UCS_0079_BAL	UCS_0079_UA	UCS_0080_BAL	UCS_0081_BAL	UCS_0082_BAL	UCS_0083_BAL	UCS_0083_UA	UCS_0085_BAL	UCS_0085_BKG	UCS_0087_BAL	UCS_0088_BAL	UCS_0088_UA	UCS_0090_BAL	UCS_0093_BAL	UCS_0093_UA	UCS_0094_BAL	UCS_0094_UA	UCS_0095_BAL	UCS_0096_BAL	UCS_0096_UA	UCS_0097_BAL	UCS_0097_UA	UCS_0098_BAL	UCS_0099_BAL	UCS_0099_UA	UCS_0100_BAL	UCS_0101_BAL	UCS_0101_UA	UCS_0103_BAL	UCS_0106_BAL	UCS_0106_UA	UCS_0109_BAL	UCS_0114_BAL	UCS_0115_BAL	UCS_0116_BAL	UCS_0118_BAL	UCS_0123_BAL	UCS_0128_BAL	UCS_0130_BAL	UCS_0130_UA	UCS_0134_UA	UCS_0136_BKG	UCS_0138_BAL	UCS_0144_BAL	UCS_0147_BAL	UCS_0148_BAL	UCS_0148_UA	UCS_0151_BAL	UCS_0153_BAL	UCS_0153_UA	UCS_0154_BAL	UCS_0154_UA	UCS_0156_BAL	UCS_0156_UA	UCS_0158_BAL	UCS_0158_UA	UCS_0159_BAL	UCS_0159_UA	UCS_0160_BAL	UCS_0163_BAL	UCS_0164_BAL	UCS_0164_UA	UCS_0167_UA	UCS_0168_BAL	UCS_0170_BAL	UCS_0170_UA	UCS_0171_BAL	UCS_0172_UA	UCS_0174_BAL	UCS_0174_UA	UCS_0175_BAL	UCS_0175_UA	UCS_0176_BAL	UCS_0177_BAL	UCS_0177_UA	UCS_0180_BAL	UCS_0182_UA	UCS_0185_BAL	UCS_0185_UA	UCS_0190_BAL	UCS_0191_BAL	UCS_0191_UA	UCS_0192_BAL	UCS_0192_UA	UCS_0194_BAL
Pyricularia oryzae	1423	234	162	303	2858	331	261	52	932	336	558	384	1176	130	332	33	922	122	1877	549	604	1077	667	201	780	314	179	1167	186	416	646	310	451	969	334	1953	1240	75	629	240	92	1287	2608	967	394	366	849	209	464	274	977	5537	996	21	3331	288	1200	72	871	947	623	111	1488	342	141	261	764	281	1422	386	1242	1506	134	1004	261	1292	575	272	483	38	305	121	1535	1126	330	419	201	13530	303	117	1098	1780	1446	387	3622	191	7490	1285	1444	517	502	999	469	52227	1406	379	49	2219	93	262	1121	1140	1031	144	1879	1596	1102	1074	241	1015	893	145	336	80	704	615	59	1816	129	831	1562	54	847	650	199	212	330	1319	227	1768	1403	58	252	996	75	240	151	159	5551	2155	1797	145	1209	595	263	461	48	1425	352	1581	157	733	158	348	655	355	1074	280	647	395	1441	310	457	13356	411	1425	177	563	899	69	395	200	1784	265	547	43	803	809	50	592	85	1511
Pyricularia pennisetigena	268	1008	870	410	434	391	366	920	654	840	206	283	743	219	180	79	1036	83	237	519	497	423	599	455	295	518	364	285	118	559	110	452	582	266	298	221	3953	127	368	130	111	542	530	763	423	902	970	173	457	790	424	958	631	477	1788	199	406	921	262	1328	389	835	513	179	1146	232	483	39	333	662	348	1714	127	377	2485	397	165	330	263	443	325	1067	465	750	174	541	796	5613	298	65	400	385	218	247	3305	452	421	432	315	331	727	398	1178	5674	314	293	356	396	965	340	185	408	191	269	555	804	182	787	135	304	474	1825	359	1299	331	1088	836	478	158	355	344	1140	326	93	275	117	346	505	740	348	1199	264	133	189	125	737	311	671	169	325	296	72	1392	603	2371	198	563	2493	1232	603	256	1309	1037	58	1138	114	465	4962	4068	353	224	70	149	114	284	3869	110	780	851	247	3012	412	943	267	288	887	545	206	169	162	817	273
Pyricularia grisea	145	253	259	121	184	768	119	87	291	232	153	186	514	183	87	66	344	283	190	345	223	134	288	338	147	171	238	112	144	212	102	186	198	58	153	116	286	40	108	148	77	226	174	314	238	200	473	320	142	127	203	1622	217	92	243	1282	177	147	127	697	157	180	151	170	252	96	189	27	133	109	230	1132	73	203	622	151	196	94	168	84	101	243	175	217	244	314	788	2564	95	27	353	124	183	114	549	155	3857	105	131	91	318	81	93	3291	122	91	126	200	284	121	129	156	104	37	110	396	165	608	199	141	346	145	164	144	158	192	298	295	248	98	198	144	152	103	715	54	482	1502	294	136	793	45	318	103	294	507	235	387	304	313	184	58	454	1805	117	141	99	2235	1221	306	277	420	152	35	409	84	441	821	323	165	147	150	132	293	154	3139	96	728	961	70	1032	544	1334	1032	376	102	179	114	45	124	432	160
Thermothielavioides terrestris	787	633	346	280	1333	222	248	36	1401	168	370	270	839	103	215	26	2153	501	724	404	1029	668	275	282	785	520	422	504	246	591	164	477	133	484	209	990	1507	94	998	148	73	1155	940	1571	442	897	1132	159	637	50	860	3103	677	18	2899	295	807	203	478	2664	956	56	1468	160	297	348	739	63	1084	246	1041	1382	413	1089	184	1329	621	699	733	35	614	83	1223	914	217	837	1165	8517	349	3	1063	975	566	491	623	647	4903	916	740	500	184	953	25	16768	876	451	58	954	73	548	776	1214	748	101	1124	4040	556	969	118	482	718	100	616	93	1523	525	30	1067	46	770	878	62	499	211	143	81	307	761	157	694	152	27	477	685	80	365	106	457	879	289	435	174	3435	593	223	348	75	757	701	978	346	400	221	265	1149	114	672	296	166	301	176	145	528	252	998	1113	236	135	311	48	702	409	1209	302	451	65	1199	475	67	509	73	999
Thermothelomyces thermophilus	322	1161	294	511	697	338	382	59	5128	213	403	97	790	207	866	27	2401	105	549	347	1042	413	170	399	672	483	243	689	81	875	27	687	256	313	127	486	1526	82	287	199	124	1115	698	1550	738	1117	1382	153	722	85	880	2694	768	58	614	91	1275	63	459	3534	1037	111	680	149	287	702	578	122	892	363	237	1336	48	559	151	633	847	656	788	17	357	221	922	752	142	667	819	11546	345	22	689	655	586	404	1029	1080	8258	670	408	422	14	362	60	14565	406	517	31	783	88	1035	292	720	430	108	649	3883	397	1437	248	792	1436	151	455	75	669	433	29	1046	403	548	643	47	453	717	512	145	143	471	193	550	700	34	421	230	272	431	191	182	608	572	867	443	1829	460	572	934	74	808	487	1144	158	322	91	220	2205	160	3709	2610	292	156	381	425	135	104	347	2063	110	1508	1313	20	770	181	3092	169	406	111	781	274	534	262	121	400
Neurospora crassa	368	855	9397	372	766	1279	935	4359	1634	1647	1507	745	1313	608	419	376	4920	548	1071	1451	903	276	2033	387	563	376	1298	462	912	1019	143	1024	1410	268	899	540	1398	78	301	664	232	923	668	1192	1018	690	1521	208	639	911	1480	18928	1802	1179	1815	874	1387	244	672	2525	856	1869	817	785	4129	483	617	402	651	7033	599	2552	310	878	14739	710	1872	939	709	1791	541	9243	847	1038	1285	949	3628	9802	471	245	4607	566	411	324	8550	744	20222	589	539	461	1517	342	1391	12034	503	571	684	623	6368	1117	585	751	676	2369	751	86771	464	1388	578	1439	1265	8642	501	4320	751	1916	4616	1190	1104	610	716	7469	457	172	1820	212	632	1734	2992	1200	138036	472	500	1403	592	1894	1567	780	9742	4890	3138	533	4758	2442	519	1055	1021	3953	2952	3844	459	873	481	415	4112	928	18130	685	453	237	871	3170	482	404	482	6480	642	2537	1929	89	5578	2459	10779	2134	1890	986	796	296	1373	360	1630	425
Fusarium venenatum	146	964	3871	173	532	298	273	1855	889	1928	146	117	548	124	132	48	841	151	260	1893	490	188	2101	158	370	212	230	267	617	264	36	526	1296	206	510	338	473	73	277	117	21	414	487	675	240	417	614	281	308	675	481	75	404	1983	960	755	427	37	215	1317	445	1267	444	151	3538	171	303	32	478	1355	202	1111	131	556	563	340	67	250	303	622	275	1831	535	378	134	467	617	3593	292	233	691	292	179	162	2406	407	228	359	288	215	2169	344	1808	5438	223	241	79	378	3583	291	372	480	299	567	313	2799	339	606	313	237	840	6767	242	3314	291	1239	2834	586	427	265	303	3078	212	271	234	52	269	701	4222	323	402	43	71	240	171	398	281	140	438	1465	328	179	2550	378	154	111	1623	1450	1527	581	166	319	164	123	3048	126	222	484	278	235	127	131	319	36	549	1362	189	186	1151	15	1181	597	1045	203	665	1531	566	165	614	260	1770	337
Fusarium graminearum	128	254	259	113	152	303	56	42	471	137	135	2040	351	77	163	5	403	211	217	270	406	177	142	715	278	203	796	188	99	177	39	224	237	97	176	206	401	50	248	217	242	239	271	513	275	196	509	279	175	31	328	107	403	31	517	303	274	26	156	963	339	234	254	160	208	129	295	503	291	52	344	648	82	389	363	241	7	127	203	9	176	130	294	253	268	295	861	2740	104	113	422	196	99	127	957	126	228	171	254	254	23	155	32	3151	189	101	107	347	55	174	123	360	164	21	226	328	93	320	1021	140	396	61	225	40	176	151	150	279	64	241	199	46	181	16	237	15	913	3750	92	363	637	76	275	173	150	325	194	118	219	330	425	23	969	2276	40	207	162	1113	1341	419	55	222	199	60	965	89	418	534	1789	527	505	103	966	42	221	1670	278	312	562	33	115	103	394	212	562	171	372	159	28	120	27	261
Fusarium pseudograminearum	51	140	1315	52	163	272	182	2324	437	1012	92	693	260	102	58	33	139	96	79	357	114	204	846	67	101	81	367	92	64	69	21	281	345	68	526	55	248	98	57	64	62	114	77	141	134	83	151	77	62	502	151	227	132	318	208	244	118	476	64	221	95	701	105	49	1143	26	96	67	327	341	84	517	70	129	172	81	69	91	102	607	109	2128	126	357	89	287	1357	1478	76	170	171	66	75	52	278	60	5134	49	72	64	602	74	780	2410	93	93	764	119	2182	60	44	131	51	379	76	1068	62	240	219	59	328	2306	41	2509	113	484	2343	327	9574	89	116	2389	68	38	103	13	111	275	1350	315	227	239	85	82	132	205	99	1363	61	268	53	81	1228	925	78	78	442	802	902	476	447	1829	1785	22	1072	237	404	43	391	236	59	51	131	320	641	1304	83	205	371	12	1052	458	1176	382	57	589	189	54	342	69	678	48
Fusarium verticillioides	201	7673	1114	122	420	1162	117	94	644	206	147	300	441	665	70	41	408	200	253	264	247	188	256	118	232	133	969	205	58	159	15	189	122	135	297	254	339	66	203	65	23	260	383	274	382	231	301	37	165	110	317	486	365	47	590	1562	216	99	110	538	350	256	260	298	172	158	259	251	373	182	83	2203	408	506	813	215	47	106	229	29	131	538	302	233	54	276	262	2659	142	26	268	225	125	434	491	188	2035	162	223	132	65	176	104	5299	225	174	47	285	89	242	122	270	119	79	267	2210	166	416	63	157	378	154	254	106	235	189	77	375	174	224	234	118	253	559	1536	26	202	1014	199	215	393	25	56	169	126	280	135	204	677	156	1843	93	3054	5757	295	350	67	2513	4702	223	108	179	69	123	4851	132	830	155	149	115	254	209	193	1023	246	1161	273	247	4349	17	676	204	865	1105	86	112	424	105	142	171	269	231
